Weight,Feed,Time,Pig,Evit,Cu,Litter
24.79999,7.5,2,5866,2,3,11
30,16.1,3,5866,2,3,11
35.79999,26,4,5866,2,3,11
42.29999,36.800001,5,5866,2,3,11
50.89999,49.800003,6,5866,2,3,11
57.79999,65.100002,7,5866,2,3,11
64.79999,80,8,5866,2,3,11
71.79999,93.800003,9,5866,2,3,11
75,109.900002,10,5866,2,3,11
83.79999,122.800003,11,5866,2,3,11
92.09998,142.400002,12,5866,2,3,11
32.5,NA,1,6056,3,3,16
38.79999,10,2,6056,3,3,16
47.79999,23.800003,3,6056,3,3,16
54.5,39,4,6056,3,3,16
63,53.200001,5,6056,3,3,16
70.09998,69,6,6056,3,3,16
76.59998,89,7,6056,3,3,16
86.19995,105.900002,8,6056,3,3,16
95.79999,127,9,6056,3,3,16
101.39996,151.200005,10,6056,3,3,16
112.29999,174.5,11,6056,3,3,16
112,191.400002,12,6056,3,3,16
27,NA,1,6057,2,3,16
32.39999,7.800001,2,6057,2,3,16
38.19998,17,3,6057,2,3,16
44.69998,30.100006,4,6057,2,3,16
53.19998,44.800003,5,6057,2,3,16
62.39999,60,6,6057,2,3,16
70.5,80,7,6057,2,3,16
72.79999,91.800003,8,6057,2,3,16
86.59998,111.100006,9,6057,2,3,16
93.29999,131.800003,10,6057,2,3,16
103,147.800003,11,6057,2,3,16
104.19995,165.400002,12,6057,2,3,16
34.19998,NA,1,6430,2,3,5
42.09998,8.499996,2,6430,2,3,5
50.09998,23.099998,3,6430,2,3,5
57.59998,35,4,6430,2,3,5
62.29999,54.299995,5,6430,2,3,5
66,73.399996,6,6430,2,3,5
76.09998,81.899996,7,6430,2,3,5
81.5,96.099998,8,6430,2,3,5
84.29999,114.299995,9,6430,2,3,5
97.89996,133.799995,10,6430,2,3,5
108.59998,163.799995,11,6430,2,3,5
109,198.299995,12,6430,2,3,5
26.79999,NA,1,8050,1,3,20
33.59998,10.900002,2,8050,1,3,20
42.09998,25.100002,3,8050,1,3,20
47.89999,38,4,8050,1,3,20
56.19998,54.400002,5,8050,1,3,20
63.39999,74.200001,6,8050,1,3,20
71.79999,89.900002,7,8050,1,3,20
80,111,8,8050,1,3,20
87.59998,135.800003,9,8050,1,3,20
94.89996,159.600006,10,8050,1,3,20
101,188.200001,11,8050,1,3,20
112,224,12,8050,1,3,20
21.89999,NA,1,8053,3,3,20
26.79999,9.6,2,8053,3,3,20
34.69998,21.800003,3,8053,3,3,20
41.29999,36.700001,4,8053,3,3,20
48.69998,51.800003,5,8053,3,3,20
57.89999,71.400002,6,8053,3,3,20
65.39996,91.600006,7,8053,3,3,20
71.29999,115.800003,8,8053,3,3,20
80.59998,138,9,8053,3,3,20
88.39996,163,10,8053,3,3,20
96.29999,188,11,8053,3,3,20
103.5,217.800001,12,8053,3,3,20
24,NA,1,8139,1,3,23
26.79999,6,2,8139,1,3,23
33,20,3,8139,1,3,23
39.09998,30.300003,4,8139,1,3,23
46.39999,45.100002,5,8139,1,3,23
54,61.400002,6,8139,1,3,23
61.59998,74.400002,7,8139,1,3,23
68.79999,91.800003,8,8139,1,3,23
72.19995,109.5,9,8139,1,3,23
77.19995,128,10,8139,1,3,23
83.79999,144.400002,11,8139,1,3,23
90.79999,160.300003,12,8139,1,3,23
35.39999,NA,1,8192,1,3,21
42.29999,15.100002,2,8192,1,3,21
49.5,29.800003,3,8192,1,3,21
58.69998,48.5,4,8192,1,3,21
66.59998,70,5,8192,1,3,21
71.39996,87.300001,6,8192,1,3,21
78.79999,104.200001,7,8192,1,3,21
85.5,125.5,8,8192,1,3,21
91.29999,144.900002,9,8192,1,3,21
97.79999,165,10,8192,1,3,21
108,197,11,8192,1,3,21
113,220,12,8192,1,3,21
22.09999,NA,1,8269,3,3,22
26.29999,6,2,8269,3,3,22
33.29999,16.800001,3,8269,3,3,22
38,27.400002,4,8269,3,3,22
39.59998,36.200001,5,8269,3,3,22
41.39999,43.300003,6,8269,3,3,22
46.29999,54,7,8269,3,3,22
52.39999,70,8,8269,3,3,22
59.39999,90,9,8269,3,3,22
66.69995,112.5,10,8269,3,3,22
73.89996,128,11,8269,3,3,22
76.79999,141.5,12,8269,3,3,22
23.7,NA,1,8270,1,3,22
28.79999,7.6,2,8270,1,3,22
35.09998,18.5,3,8270,1,3,22
43,33.200001,4,8270,1,3,22
49.09998,44.900002,5,8270,1,3,22
58.79999,60,6,8270,1,3,22
65.39996,75.800003,7,8270,1,3,22
68.5,91,8,8270,1,3,22
79,108.5,9,8270,1,3,22
90.69995,133.200001,10,8270,1,3,22
98,151.200005,11,8270,1,3,22
104,167.800001,12,8270,1,3,22
27.29999,NA,1,8439,3,3,24
31.2,8.8,2,8439,3,3,24
37,20,3,8439,3,3,24
43.89999,33.200001,4,8439,3,3,24
49.79999,44.800003,5,8439,3,3,24
57.19998,58,6,8439,3,3,24
65.19995,74.600002,7,8439,3,3,24
73.19995,94.900002,8,8439,3,3,24
78.79999,108.8,9,8439,3,3,24
87.39996,128,10,8439,3,3,24
95,149,11,8439,3,3,24
100.5,158.600006,12,8439,3,3,24
25.7,NA,1,8442,1,3,24
28.7,6.6,2,8442,1,3,24
33.39999,15.800003,3,8442,1,3,24
40,27,4,8442,1,3,24
46.69998,40,5,8442,1,3,24
56.59998,52,6,8442,1,3,24
65.19995,66,7,8442,1,3,24
73.19995,83.800003,8,8442,1,3,24
81.69995,99.800003,9,8442,1,3,24
90.29999,115.200001,10,8442,1,3,24
96,133.200001,11,8442,1,3,24
103.5,151.400002,12,8442,1,3,24
