reg,popu,gen,rack,nutrient,amd,status,total.fruits
SP,5.SP,16,1,1,clipped,Normal,56
SP,5.SP,16,1,8,clipped,Normal,42
NL,5.NL,11,1,8,clipped,Transplant,83
SP,8.SP,24,2,8,unclipped,Normal,98
SP,6.SP,19,2,8,clipped,Normal,46
NL,3.NL,4,1,8,clipped,Normal,104
NL,5.NL,12,1,1,clipped,Normal,58
SW,7.SW,36,1,8,unclipped,Transplant,86
SW,7.SW,36,1,8,unclipped,Transplant,37
NL,3.NL,4,1,1,unclipped,Petri.Plate,116
SW,2.SW,30,1,8,unclipped,Normal,69
SP,6.SP,20,1,8,unclipped,Normal,134
SP,1.SP,13,2,8,unclipped,Normal,90
SP,8.SP,23,1,8,unclipped,Normal,187
SP,8.SP,24,2,8,unclipped,Transplant,64
SP,6.SP,19,2,8,unclipped,Normal,73
SW,2.SW,28,1,8,unclipped,Normal,83
SP,5.SP,16,2,8,clipped,Transplant,67
SW,1.SW,25,1,8,unclipped,Transplant,57
SP,5.SP,16,1,1,unclipped,Normal,80
SP,8.SP,22,2,8,clipped,Normal,53
NL,3.NL,6,1,8,clipped,Normal,106
SP,8.SP,23,1,8,unclipped,Petri.Plate,151
SP,6.SP,21,2,8,unclipped,Normal,42
SP,5.SP,17,1,8,unclipped,Normal,61
SP,1.SP,14,1,8,clipped,Petri.Plate,112
SW,1.SW,25,1,8,unclipped,Normal,41
SW,7.SW,34,1,8,clipped,Normal,46
SP,1.SP,14,1,1,clipped,Petri.Plate,40
SW,7.SW,35,1,8,unclipped,Normal,60
SP,1.SP,14,1,8,clipped,Normal,55
SW,1.SW,25,1,8,unclipped,Normal,83
SP,5.SP,17,1,8,unclipped,Normal,102
SP,5.SP,17,2,8,clipped,Normal,54
SP,6.SP,20,2,8,unclipped,Normal,69
SP,5.SP,18,1,8,unclipped,Normal,101
SP,6.SP,19,1,1,unclipped,Normal,77
SP,6.SP,20,2,8,unclipped,Petri.Plate,99
SW,2.SW,28,1,8,unclipped,Normal,107
SP,8.SP,23,2,8,unclipped,Normal,116
SP,6.SP,21,1,8,clipped,Normal,102
SP,8.SP,22,2,1,unclipped,Normal,106
SP,1.SP,13,2,8,unclipped,Transplant,90
SP,8.SP,23,2,1,unclipped,Petri.Plate,68
SP,5.SP,16,1,8,unclipped,Normal,75
NL,5.NL,11,2,8,unclipped,Petri.Plate,70
SP,5.SP,16,2,8,unclipped,Transplant,90
SW,1.SW,25,1,8,unclipped,Normal,77
NL,5.NL,11,2,8,clipped,Transplant,91
NL,5.NL,11,1,1,unclipped,Normal,123
SW,1.SW,27,2,8,unclipped,Transplant,105
SP,5.SP,16,1,1,clipped,Normal,144
SP,5.SP,17,1,8,clipped,Normal,238
SP,5.SP,18,2,8,unclipped,Normal,131
SP,5.SP,17,1,8,clipped,Normal,121
SP,6.SP,21,1,8,unclipped,Normal,114
SP,5.SP,18,1,8,clipped,Normal,145
SP,6.SP,20,1,8,clipped,Normal,191
NL,3.NL,4,2,1,clipped,Normal,1
NL,3.NL,4,2,1,unclipped,Normal,2
NL,3.NL,4,1,8,clipped,Normal,5
NL,3.NL,5,1,8,clipped,Petri.Plate,26
NL,5.NL,11,2,8,clipped,Normal,5
NL,5.NL,11,1,1,clipped,Normal,40
NL,5.NL,11,2,1,clipped,Petri.Plate,72
SP,1.SP,13,1,8,unclipped,Normal,5
SP,1.SP,14,2,8,clipped,Normal,103
SP,1.SP,15,2,1,unclipped,Transplant,6
SP,5.SP,16,2,8,clipped,Normal,5
SP,5.SP,16,2,1,unclipped,Normal,5
SP,5.SP,16,1,8,unclipped,Petri.Plate,5
SW,1.SW,25,2,8,unclipped,Normal,5
SW,1.SW,25,1,1,clipped,Transplant,3
SW,1.SW,27,2,8,unclipped,Normal,5
SW,1.SW,27,2,8,clipped,Transplant,5
SW,7.SW,35,2,1,clipped,Normal,3
