"","ID","DT","la","lo","count","vol","country","ship","T.surf","T.20","T.50","T.100","period","d","gear.sub","gear","opening","wind","T1.surf","T1.20","T1.50","T1.100","Sal20","b.depth"
"183093",8227162,"2010-04-22 09:56:00.000",58.75,-9.8,8,209.650208,"Scotland","748S",9.7408,9.7403,9.7338,"9.7257","3","","G7","Gulf7","20","0",9.7408,9.7403,9.7338,"9.7257",35.4425,1807
"183098",8227167,"2010-04-22 11:50:00.000",58.75,-9.31,8,200.2092916,"Scotland","748S",9.7153,9.6739,9.6702,"9.6792","3","","G7","Gulf7","20","0",9.7153,9.6739,9.6702,"9.6792",35.4353,1784
"183103",8227172,"2010-04-22 13:45:00.000",58.75,-8.81,39,187.8870129,"Scotland","748S",9.9346,9.8509,9.839,"9.6729","3","","G7","Gulf7","20","0",9.9346,9.8509,9.839,"9.6729",35.4499,1552
"183108",8227177,"2010-04-22 15:38:00.000",58.75,-8.3,108,187.7256297,"Scotland","748S",9.8814,9.7946,9.783,"9.7843","3","","G7","Gulf7","20","0",9.8814,9.7946,9.783,"9.7843",35.444,959
"183113",8227182,"2010-04-22 17:27:00.000",58.75,-7.81,69,205.2155326,"Scotland","748S",9.7377,9.6773,9.639,"9.6394","3","","G7","Gulf7","20","0",9.7377,9.6773,9.639,"9.6394",35.4333,367
"183117",8227186,"2010-04-22 19:26:00.000",58.75,-7.28,3,72.15845733,"Scotland","748S",8.2067,8.1735,8.2388,"","3","","G7","Gulf7","20","0",8.2067,8.1735,8.2388,"",35.1018,99
"183122",8227191,"2010-04-22 22:24:00.000",58.75,-6.78,7,129.9437246,"Scotland","748S",9.1107,9.0961,9.0309,"8.9842","3","","G7","Gulf7","20","0",9.1107,9.0961,9.0309,"8.9842",35.3374,131
"183127",8227196,"2010-04-23 00:09:00.000",58.75,-6.28,10,100.3736178,"Scotland","748S",8.1966,8.2374,8.2678,"8.4623","3","","G7","Gulf7","20","0",8.1966,8.2374,8.2678,"8.4623",35.0891,115
"183132",8227201,"2010-04-23 04:34:00.000",58.27,-7.23,3,129.5906989,"Scotland","748S",7.7465,7.7608,7.6684,"","3","","G7","Gulf7","20","0",7.7465,7.7608,7.6684,"",34.899,107
"183137",8227206,"2010-04-23 11:35:00.000",57.75,-8.73,1,115.3755299,"Scotland","748S",9.1502,9.1356,9.187,"","3","","G7","Gulf7","20","0",9.1502,9.1356,9.187,"",35.2965,146
"183138",8227207,"2010-04-23 14:58:00.000",57.75,-9.21,179,149.938429,"Scotland","748S",9.8456,9.852,9.828,"9.6188","3","","G7","Gulf7","20","0",9.8456,9.852,9.828,"9.6188",35.4511,145
"183143",8227212,"2010-04-23 16:50:00.000",57.75,-9.7,28,232.8086953,"Scotland","748S",9.9928,9.995,9.989,"","3","","G7","Gulf7","20","0",9.9928,9.995,9.989,"",35.4514,821
"183148",8227217,"2010-04-23 18:56:00.000",57.75,-10.21,23,192.3317748,"Scotland","748S",9.9182,9.9257,9.9275,"9.9248","3","","G7","Gulf7","20","0",9.9182,9.9257,9.9275,"9.9248",35.4341,2038
"183153",8227222,"2010-04-23 20:55:00.000",57.75,-10.71,18,229.6213774,"Scotland","748S",9.9297,9.9309,9.9309,"9.817","3","","G7","Gulf7","20","0",9.9297,9.9309,9.9309,"9.817",35.4548,2103
"183158",8227227,"2010-04-23 23:02:00.000",57.75,-11.22,3,165.4312149,"Scotland","748S",10.2105,10.2118,10.2072,"10.1875","3","","G7","Gulf7","20","0",10.2105,10.2118,10.2072,"10.1875",35.4367,2070
"183163",8227232,"2010-04-24 00:53:00.000",57.75,-11.71,8,200.8212029,"Scotland","748S",9.9377,9.9377,9.7264,"9.8787","3","","G7","Gulf7","20","0",9.9377,9.9377,9.7264,"9.8787",35.427,1848
"183168",8227237,"2010-04-24 02:52:00.000",57.75,-12.21,20,191.4004594,"Scotland","748S",10.1344,10.1179,10.0513,"10.0133","3","","G7","Gulf7","20","0",10.1344,10.1179,10.0513,"10.0133",35.4471,1773
"183173",8227242,"2010-04-24 04:47:00.000",57.75,-12.7,14,208.4398341,"Scotland","748S",10.1839,10.2041,10.1662,"10.0492","3","","G7","Gulf7","20","0",10.1839,10.2041,10.1662,"10.0492",35.4595,1386
"183178",8227247,"2010-04-24 06:44:00.000",57.75,-13.18,76,189.0604032,"Scotland","748S",9.2938,9.2887,9.2018,"9.0482","3","","G7","Gulf7","20","0",9.2938,9.2887,9.2018,"9.0482",35.3583,210
"183183",8227252,"2010-04-24 08:47:00.000",57.75,-13.71,51,124.4297991,"Scotland","748S",9.4195,9.3121,9.2292,"9.111","3","","G7","Gulf7","20","0",9.4195,9.3121,9.2292,"9.111",35.3588,140
"183187",8227256,"2010-04-24 10:31:00.000",57.75,-14.2,10,217.1209047,"Scotland","748S",9.556,9.4491,9.3986,"9.3726","3","","G7","Gulf7","20","0",9.556,9.4491,9.3986,"9.3726",35.351,206
"183191",8227260,"2010-04-24 12:30:00.000",57.75,-14.7,11,184.5147767,"Scotland","748S",9.662,9.5927,9.5449,"9.5269","3","","G7","Gulf7","20","0",9.662,9.5927,9.5449,"9.5269",35.3534,398
"183194",8227263,"2010-04-24 14:24:00.000",57.75,-15.2,6,192.2309103,"Scotland","748S",9.9784,9.7699,9.6285,"9.6244","3","","G7","Gulf7","20","0",9.9784,9.7699,9.6285,"9.6244",35.3482,762
"183198",8227267,"2010-04-24 16:41:00.000",57.75,-15.7,5,221.3404026,"Scotland","748S",9.8501,9.6412,9.5921,"9.5737","3","","G7","Gulf7","20","0",9.8501,9.6412,9.5921,"9.5737",35.3563,1080
"183201",8227270,"2010-04-24 18:43:00.000",57.75,-16.21,20,213.9705704,"Scotland","748S",10.0639,10.0648,9.9369,"9.5807","3","","G7","Gulf7","20","0",10.0639,10.0648,9.9369,"9.5807",35.3735,1161
"183206",8227275,"2010-04-24 20:42:00.000",57.75,-16.71,50,205.5887312,"Scotland","748S",10.0783,9.9311,9.9024,"9.8135","3","","G7","Gulf7","20","0",10.0783,9.9311,9.9024,"9.8135",35.372,1121
"183211",8227280,"2010-04-24 22:39:00.000",57.75,-17.21,44,200.1017028,"Scotland","748S",9.8177,9.7117,9.6174,"9.8281","3","","G7","Gulf7","20","0",9.8177,9.7117,9.6174,"9.8281",35.3102,1101
"183216",8227285,"2010-04-25 00:35:00.000",57.75,-17.72,55,225.9835314,"Scotland","748S",10.065,9.9313,9.8955,"9.7933","3","","G7","Gulf7","20","0",10.065,9.9313,9.8955,"9.7933",35.3718,1057
"183221",8227290,"2010-04-25 02:30:00.000",57.75,-18.21,16,157.5436117,"Scotland","748S",9.8374,9.6603,9.6074,"9.5943","3","","G7","Gulf7","20","0",9.8374,9.6603,9.6074,"9.5943",35.3231,900
"183224",8227293,"2010-04-25 04:23:00.000",57.75,-18.71,7,215.0094747,"Scotland","748S",9.784,9.5174,9.593,"9.5095","3","","G7","Gulf7","20","0",9.784,9.5174,9.593,"9.5095",35.2666,722
"183226",8227295,"2010-04-25 06:24:00.000",57.75,-19.2,36,194.4263941,"Scotland","748S",9.9083,9.7682,9.7661,"9.6472","3","","G7","Gulf7","20","0",9.9083,9.7682,9.7661,"9.6472",35.2926,916
"183231",8227300,"2010-04-25 08:22:00.000",57.75,-19.7,13,214.0041919,"Scotland","748S",10.0444,9.7396,9.7776,"9.7367","3","","G7","Gulf7","20","0",10.0444,9.7396,9.7776,"9.7367",35.298,1377
"183236",8227305,"2010-04-25 11:45:00.000",57.28,-19.75,6,182.2923958,"Scotland","748S",10.0228,9.9556,9.7975,"9.6581","3","","G7","Gulf7","20","0",10.0228,9.9556,9.7975,"9.6581",35.3295,1041
"183243",8227312,"2010-04-25 18:54:00.000",56.75,-18.79,2,41.06193455,"Scotland","748S",NA,9.927,NA,"","3","","G7","Gulf7","20","0",NA,9.927,NA,"",35.328,1303
"183248",8227317,"2010-04-25 21:02:00.000",56.75,-18.28,5,189.8101625,"Scotland","748S",10.0766,10.0712,9.9628,"na","3","","G7","Gulf7","20","0",10.0766,10.0712,9.9628,"na",35.3838,1294
"183252",8227321,"2010-04-25 22:57:00.000",56.75,-17.81,1,95.07150768,"Scotland","748S",10.1467,9.94,9.7647,"9.6844","3","","G7","Gulf7","20","0",10.1467,9.94,9.7647,"9.6844",35.3051,1351
"183257",8227326,"2010-04-26 01:01:00.000",56.75,-17.29,24,115.2713032,"Scotland","748S",10.1773,10.1739,9.8382,"9.8564","3","","G7","Gulf7","20","0",10.1773,10.1739,9.8382,"9.8564",35.3311,804
"183266",8227335,"2010-04-26 04:48:00.000",56.75,-16.3,3,174.4505922,"Scotland","748S",10.0931,9.9348,9.8635,"9.7741","3","","G7","Gulf7","20","0",10.0931,9.9348,9.8635,"9.7741",35.3697,843
"183270",8227339,"2010-04-26 06:47:00.000",56.75,-15.8,4,174.6190019,"Scotland","748S",10.0991,10.0721,9.8629,"9.7202","3","","G7","Gulf7","20","0",10.0991,10.0721,9.8629,"9.7202",35.3582,645
"183275",8227344,"2010-04-26 08:47:00.000",56.75,-15.31,63,174.7874116,"Scotland","748S",10.0707,9.8552,9.6919,"9.6807","3","","G7","Gulf7","20","0",10.0707,9.8552,9.6919,"9.6807",35.3767,391
"183279",8227348,"2010-04-26 10:53:00.000",56.75,-14.79,69,174.9558213,"Scotland","748S",9.9779,9.8541,9.3978,"9.3639","3","","G7","Gulf7","20","0",9.9779,9.8541,9.3978,"9.3639",35.3816,199
"183284",8227353,"2010-04-26 12:46:00.000",56.75,-14.3,82,175.124231,"Scotland","748S",9.236,9.789,9.8388,"9.3934","3","","G7","Gulf7","20","0",9.236,9.789,9.8388,"9.3934",35.3798,189
"183289",8227358,"2010-04-26 14:36:00.000",56.75,-13.81,67,175.2926408,"Scotland","748S",10.5769,10.4119,10.3297,"10.2744","3","","G7","Gulf7","20","0",10.5769,10.4119,10.3297,"10.2744",35.4368,441
"183294",8227363,"2010-04-26 16:32:00.000",56.75,-13.31,20,175.4610505,"Scotland","748S",10.4869,10.4325,10.241,"10.1378","3","","G7","Gulf7","20","0",10.4869,10.4325,10.241,"10.1378",35.4449,1823
"183299",8227368,"2010-04-26 18:27:00.000",56.75,-12.79,21,175.6294602,"Scotland","748S",10.3654,10.2178,10.0943,"10.0299","3","","G7","Gulf7","20","0",10.3654,10.2178,10.0943,"10.0299",35.4524,2301
"183304",8227373,"2010-04-26 20:22:00.000",56.75,-12.3,16,175.7978699,"Scotland","748S",10.4398,10.3543,10.3116,"10.2298","3","","G7","Gulf7","20","0",10.4398,10.3543,10.3116,"10.2298",35.4437,2298
"183309",8227378,"2010-04-26 22:16:00.000",56.75,-11.79,40,175.9662796,"Scotland","748S",10.507,10.4878,10.3253,"10.236","3","","G7","Gulf7","20","0",10.507,10.4878,10.3253,"10.236",35.4486,2367
"183314",8227383,"2010-04-27 00:06:00.000",56.75,-11.29,66,176.1346893,"Scotland","748S",10.7561,10.6884,10.4258,"10.3054","3","","G7","Gulf7","20","0",10.7561,10.6884,10.4258,"10.3054",35.4542,2446
"183319",8227388,"2010-04-27 01:56:00.000",56.75,-10.79,14,176.3030991,"Scotland","748S",10.7691,10.7075,10.6201,"10.2663","3","","G7","Gulf7","20","0",10.7691,10.7075,10.6201,"10.2663",35.4724,2356
"183324",8227393,"2010-04-27 03:45:00.000",56.75,-10.3,42,176.4715088,"Scotland","748S",10.4274,10.305,10.1296,"10.0609","3","","G7","Gulf7","20","0",10.4274,10.305,10.1296,"10.0609",35.4468,2135
"183329",8227398,"2010-04-27 05:45:00.000",56.75,-9.8,8,176.6399185,"Scotland","748S",10.5726,10.3951,10.2383,"10.1766","3","","G7","Gulf7","20","0",10.5726,10.3951,10.2383,"10.1766",35.4643,1823
"183334",8227403,"2010-04-27 07:46:00.000",56.75,-9.31,68,176.8083282,"Scotland","748S",10.4375,10.4303,10.3559,"10.2298","3","","G7","Gulf7","20","0",10.4375,10.4303,10.3559,"10.2298",35.4583,1413
"183339",8227408,"2010-04-27 09:52:00.000",56.75,-8.79,4,176.9767379,"Scotland","748S",9.0944,8.8366,8.4488,"8.7737","3","","G7","Gulf7","20","0",9.0944,8.8366,8.4488,"8.7737",34.9792,118
"183342",8227411,"2010-04-27 11:48:00.000",56.75,-8.28,3,177.1451476,"Scotland","748S",9.0004,8.6657,8.4634,"8.4933","3","","G7","Gulf7","20","0",9.0004,8.6657,8.4634,"8.4933",34.966,136
"183346",8227415,"2010-04-28 05:20:00.000",56.28,-7.72,8,177.4819671,"Scotland","748S",9.2206,9.1394,9.1344,"9.146","3","","G7","Gulf7","20","0",9.2206,9.1394,9.1344,"9.146",35.3032,100
"183350",8227419,"2010-04-28 08:46:00.000",55.76,-7.75,1,177.6503768,"Scotland","748S",10.133,9.7445,8.7146,"","3","","G7","Gulf7","20","0",10.133,9.7445,8.7146,"",35.3301,89
"183354",8227423,"2010-04-28 10:49:00.000",55.75,-8.23,1,177.8187865,"Scotland","748S",10.2669,10.2454,10.0366,"9.0857","3","","G7","Gulf7","20","0",10.2669,10.2454,10.0366,"9.0857",35.2797,106
"183356",8227425,"2010-04-28 12:50:00.000",55.75,-8.72,2,177.9871962,"Scotland","748S",10.0282,10.027,9.1652,"","3","","G7","Gulf7","20","0",10.0282,10.027,9.1652,"",35.2595,104
"183359",8227428,"2010-04-28 16:46:00.000",55.75,-9.24,35,178.1556059,"Scotland","748S",10.5072,10.5034,10.2927,"9.9986","3","","G7","Gulf7","20","0",10.5072,10.5034,10.2927,"9.9986",35.4579,136
"183364",8227433,"2010-04-28 18:56:00.000",55.76,-9.71,8,178.3240157,"Scotland","748S",10.7338,10.7326,10.7299,"10.6903","3","","G7","Gulf7","20","0",10.7338,10.7326,10.7299,"10.6903",35.4725,1774
"183369",8227438,"2010-04-28 20:58:00.000",55.76,-10.2,8,178.4924254,"Scotland","748S",10.6075,10.6093,10.5394,"10.4087","3","","G7","Gulf7","20","0",10.6075,10.6093,10.5394,"10.4087",35.4631,2326
"183374",8227443,"2010-04-28 22:58:00.000",55.75,-10.7,8,178.6608351,"Scotland","748S",10.6419,10.6363,10.5813,"10.3556","3","","G7","Gulf7","20","0",10.6419,10.6363,10.5813,"10.3556",35.4603,2471
"183379",8227448,"2010-04-29 01:06:00.000",55.75,-11.2,11,178.8292448,"Scotland","748S",10.7401,10.7428,10.5149,"10.4509","3","","G7","Gulf7","20","0",10.7401,10.7428,10.5149,"10.4509",35.4554,2588
"183384",8227453,"2010-04-29 03:20:00.000",55.75,-11.7,26,178.9976545,"Scotland","748S",10.6971,10.7039,10.5957,"10.5031","3","","G7","Gulf7","20","0",10.6971,10.7039,10.5957,"10.5031",35.4313,2774
"183389",8227458,"2010-04-29 05:40:00.000",55.75,-12.2,11,179.1660642,"Scotland","748S",10.7148,10.7095,10.7009,"10.4228","3","","G7","Gulf7","20","0",10.7148,10.7095,10.7009,"10.4228",35.4444,2853
"183394",8227463,"2010-04-29 07:54:00.000",55.75,-12.69,34,179.334474,"Scotland","748S",10.6749,10.6659,10.634,"10.5238","3","","G7","Gulf7","20","0",10.6749,10.6659,10.634,"10.5238",35.4365,2796
"183399",8227468,"2010-04-29 10:08:00.000",55.75,-13.18,33,179.5028837,"Scotland","748S",10.8289,10.7774,10.7532,"10.3371","3","","G7","Gulf7","20","0",10.8289,10.7774,10.7532,"10.3371",35.4534,2712
"183404",8227473,"2010-04-29 12:26:00.000",55.75,-13.69,17,179.6712934,"Scotland","748S",10.9276,10.826,10.7257,"10.6125","3","","G7","Gulf7","20","0",10.9276,10.826,10.7257,"10.6125",35.4607,2602
"183409",8227478,"2010-04-29 14:40:00.000",55.75,-14.2,14,179.8397031,"Scotland","748S",10.9697,10.8352,10.7892,"10.7709","3","","G7","Gulf7","20","0",10.9697,10.8352,10.7892,"10.7709",35.4729,2295
"183414",8227483,"2010-04-29 16:45:00.000",55.75,-14.68,38,180.0081128,"Scotland","748S",10.8724,10.7713,10.7152,"10.5619","3","","G7","Gulf7","20","0",10.8724,10.7713,10.7152,"10.5619",35.4489,1738
"183419",8227488,"2010-04-29 18:59:00.000",55.75,-15.2,58,180.1765225,"Scotland","748S",10.5777,10.5008,10.2659,"10.1124","3","","G7","Gulf7","20","0",10.5777,10.5008,10.2659,"10.1124",35.439,545
"183424",8227493,"2010-04-29 21:08:00.000",55.75,-15.7,116,180.3449323,"Scotland","748S",10.4914,10.3173,10.1861,"10.2535","3","","G7","Gulf7","20","0",10.4914,10.3173,10.1861,"10.2535",35.3832,413
"183429",8227498,"2010-04-29 23:17:00.000",55.75,-16.2,29,180.513342,"Scotland","748S",10.2779,10.1379,10.0785,"9.7335","3","","G7","Gulf7","20","0",10.2779,10.1379,10.0785,"9.7335",35.3569,414
"183434",8227503,"2010-04-30 01:21:00.000",55.75,-16.7,38,180.6817517,"Scotland","748S",10.4832,10.449,10.3126,"9.7665","3","","G7","Gulf7","20","0",10.4832,10.449,10.3126,"9.7665",35.4047,415
"183438",8227507,"2010-04-30 03:23:00.000",55.75,-17.2,106,180.8501614,"Scotland","748S",10.4407,10.3342,10.242,"10.0289","3","","G7","Gulf7","20","0",10.4407,10.3342,10.242,"10.0289",35.3351,623
"183441",8227510,"2010-04-30 05:23:00.000",55.75,-17.7,2,181.0185711,"Scotland","748S",10.6169,10.5265,10.3202,"10.1114","3","","G7","Gulf7","20","0",10.6169,10.5265,10.3202,"10.1114",35.3324,1056
"183444",8227513,"2010-04-30 07:28:00.000",55.75,-18.2,5,181.1869808,"Scotland","748S",10.5474,10.5041,10.2376,"10.3797","3","","G7","Gulf7","20","0",10.5474,10.5041,10.2376,"10.3797",35.322,1358
"183446",8227515,"2010-04-30 10:56:00.000",55.28,-18.25,24,181.3553905,"Scotland","748S",10.7734,10.521,10.5006,"9.9147","3","","G7","Gulf7","20","0",10.7734,10.521,10.5006,"9.9147",35.3598,1151
"183449",8227518,"2010-04-30 16:30:00.000",54.75,-17.79,24,181.69221,"Scotland","748S",10.9312,10.7095,10.5752,"10.2751","3","","G7","Gulf7","20","0",10.9312,10.7095,10.5752,"10.2751",35.3823,1115
"183452",8227521,"2010-04-30 18:30:00.000",54.75,-17.28,15,181.8606197,"Scotland","748S",10.9028,10.8967,10.5926,"10.5306","3","","G7","Gulf7","20","0",10.9028,10.8967,10.5926,"10.5306",35.4006,1396
"183453",8227522,"2010-04-30 20:25:00.000",54.75,-16.79,28,182.0290294,"Scotland","748S",10.9973,10.983,10.8121,"10.7898","3","","G7","Gulf7","20","0",10.9973,10.983,10.8121,"10.7898",35.4158,2506
"183455",8227524,"2010-04-30 23:06:00.000",54.75,-16.3,2,182.1974391,"Scotland","748S",10.8684,10.8069,10.6813,"10.3316","3","","G7","Gulf7","20","0",10.8684,10.8069,10.6813,"10.3316",35.4463,2289
"183460",8227529,"2010-05-01 05:14:00.000",54.75,-14.78,1,182.7026683,"Scotland","748S",11.0552,11.0532,10.832,"10.7368","3","","G7","Gulf7","20","0",11.0552,11.0532,10.832,"10.7368",35.4209,2665
"183462",8227531,"2010-05-01 07:08:00.000",54.75,-14.3,57,182.871078,"Scotland","748S",10.911,10.9166,10.6437,"10.3262","3","","G7","Gulf7","20","0",10.911,10.9166,10.6437,"10.3262",35.4607,2755
"183467",8227536,"2010-05-01 09:13:00.000",54.75,-13.82,12,183.0394877,"Scotland","748S",10.84,10.8299,10.4304,"10.4112","3","","G7","Gulf7","20","0",10.84,10.8299,10.4304,"10.4112",35.4583,2819
"183472",8227541,"2010-05-01 11:33:00.000",54.75,-13.32,6,183.2078974,"Scotland","748S",10.8528,10.8595,10.7554,"10.5671","3","","G7","Gulf7","20","0",10.8528,10.8595,10.7554,"10.5671",35.4659,2894
"183477",8227546,"2010-05-01 14:22:00.000",54.74,-12.76,5,183.3763071,"Scotland","748S",10.8537,10.867,10.8374,"10.5303","3","","G7","Gulf7","20","0",10.8537,10.867,10.8374,"10.5303",35.4713,2923
"183482",8227551,"2010-05-01 16:56:00.000",54.73,-12.28,6,183.5447169,"Scotland","748S",10.9032,10.9108,10.6815,"10.5143","3","","G7","Gulf7","20","0",10.9032,10.9108,10.6815,"10.5143",35.485,2889
"183487",8227556,"2010-05-01 19:23:00.000",54.73,-11.79,2,183.7131266,"Scotland","748S",10.8778,10.884,10.6936,"10.5842","3","","G7","Gulf7","20","0",10.8778,10.884,10.6936,"10.5842",35.4566,2873
"183492",8227561,"2010-05-01 21:45:00.000",54.72,-11.29,9,183.8815363,"Scotland","748S",10.9535,10.9133,10.6274,"10.3631","3","","G7","Gulf7","20","0",10.9535,10.9133,10.6274,"10.3631",35.4561,2508
"183497",8227566,"2010-05-01 23:55:00.000",54.75,-10.79,3,184.049946,"Scotland","748S",11.0226,11.0307,10.85,"10.6359","3","","G7","Gulf7","20","0",11.0226,11.0307,10.85,"10.6359",35.4378,1790
"183508",8227577,"2010-05-02 17:54:00.000",53.77,-11.1,6,185.0604043,"Scotland","748S",11.191,11.1603,10.8468,"10.3474","3","","G7","Gulf7","20","0",11.191,11.1603,10.8468,"10.3474",35.3151,173
"183510",8227579,"2010-05-02 21:16:00.000",53.75,-11.71,4,185.228814,"Scotland","748S",11.0034,11.0064,10.6353,"10.3693","3","","G7","Gulf7","20","0",11.0034,11.0064,10.6353,"10.3693",35.4776,297
"183514",8227583,"2010-05-03 00:34:00.000",53.27,-11.75,1,185.3972237,"Scotland","748S",11.3078,11.306,10.7883,"10.5795","3","","G7","Gulf7","20","0",11.3078,11.306,10.7883,"10.5795",35.5219,188
"183518",8227587,"2010-05-03 04:05:00.000",52.77,-11.75,9,185.5656335,"Scotland","748S",11.4474,11.4502,11.4505,"10.5216","3","","G7","Gulf7","20","0",11.4474,11.4502,11.4505,"10.5216",35.5492,164
"183525",8227594,"2010-05-05 07:09:00.000",51.75,-10.74,3,117.4264412,"Scotland","748S",10.8174,10.8473,10.6565,"10.2399","3","","G7","Gulf7","20","0",10.8174,10.8473,10.6565,"10.2399",35.2385,136
"183526",8227595,"2010-05-05 10:25:00.000",51.75,-11.19,39,151.6665739,"Scotland","748S",11.573,11.5656,11.0632,"10.7392","3","","G7","Gulf7","20","0",11.573,11.5656,11.0632,"10.7392",35.5255,187
"183531",8227600,"2010-05-05 12:31:00.000",51.75,-11.69,602,186.8850923,"Scotland","748S",11.5198,11.5101,11.4818,"11.1012","3","","G7","Gulf7","20","0",11.5198,11.5101,11.4818,"11.1012",35.5749,424
"183536",8227605,"2010-05-05 14:38:00.000",51.75,-12.2,3,192.1132351,"Scotland","748S",11.8001,11.7818,11.3123,"11.1873","3","","G7","Gulf7","20","0",11.8001,11.7818,11.3123,"11.1873",35.5974,997
"183541",8227610,"2010-05-05 16:48:00.000",51.75,-12.7,4,155.0724316,"Scotland","748S",11.7091,11.7064,11.6868,"11.1643","3","","G7","Gulf7","20","0",11.7091,11.7064,11.6868,"11.1643",35.5888,1314
"183544",8227613,"2010-05-05 18:55:00.000",51.75,-13.21,2,172.9355331,"Scotland","748S",11.741,11.7414,11.6906,"11.0045","3","","G7","Gulf7","20","0",11.741,11.7414,11.6906,"11.0045",35.5904,944
"183545",8227614,"2010-05-05 21:02:00.000",51.75,-13.72,87,172.5354373,"Scotland","748S",11.619,11.6051,11.0679,"10.9524","3","","G7","Gulf7","20","0",11.619,11.6051,11.0679,"10.9524",35.5747,513
"183550",8227619,"2010-05-05 23:07:00.000",51.75,-14.21,36,171.5570517,"Scotland","748S",11.5284,11.468,10.789,"10.6091","3","","G7","Gulf7","20","0",11.5284,11.468,10.789,"10.6091",35.5258,376
"183555",8227624,"2010-05-06 01:13:00.000",51.75,-14.72,66,213.1098601,"Scotland","748S",11.752,11.7289,11.5881,"11.2205","3","","G7","Gulf7","20","0",11.752,11.7289,11.5881,"11.2205",35.572,473
"183563",8227632,"2010-05-06 05:23:00.000",51.75,-15.71,3,161.4033595,"Scotland","748S",12.1611,12.1253,11.6979,"11.4523","3","","G7","Gulf7","20","0",12.1611,12.1253,11.6979,"11.4523",35.6209,3151
"183567",8227636,"2010-05-06 14:22:00.000",52.75,-15.3,2,193.3605926,"Scotland","748S",11.495,11.4825,11.2598,"11.1034","3","","G7","Gulf7","20","0",11.495,11.4825,11.2598,"11.1034",35.494,2373
"183572",8227641,"2010-05-06 16:31:00.000",52.75,-14.81,182,164.9437032,"Scotland","748S",11.3508,11.3454,11.071,"10.8907","3","","G7","Gulf7","20","0",11.3508,11.3454,11.071,"10.8907",35.4801,663
"183577",8227646,"2010-05-06 18:51:00.000",52.75,-14.25,34,197.882684,"Scotland","748S",11.2433,11.252,11.227,"10.5387","3","","G7","Gulf7","20","0",11.2433,11.252,11.227,"10.5387",35.4978,331
"183582",8227651,"2010-05-06 20:54:00.000",52.75,-13.79,43,193.2866254,"Scotland","748S",11.0717,11.0781,11.0098,"10.3032","3","","G7","Gulf7","20","0",11.0717,11.0781,11.0098,"10.3032",35.4834,233
"183587",8227656,"2010-05-06 23:06:00.000",52.75,-13.29,71,170.6694442,"Scotland","748S",11.3398,11.3396,11.0954,"10.5495","3","","G7","Gulf7","20","0",11.3398,11.3396,11.0954,"10.5495",35.556,330
"183592",8227661,"2010-05-07 01:16:00.000",52.75,-12.79,87,174.9931687,"Scotland","748S",11.4734,11.4598,11.298,"10.7396","3","","G7","Gulf7","20","0",11.4734,11.4598,11.298,"10.7396",35.5672,487
"183597",8227666,"2010-05-07 03:27:00.000",52.75,-12.29,27,235.5454852,"Scotland","748S",11.3591,11.3714,11.3693,"10.7604","3","","G7","Gulf7","20","0",11.3591,11.3714,11.3693,"10.7604",35.5574,355
"183600",8227669,"2010-05-07 06:53:00.000",53.2,-12.05,16,210.6958366,"Scotland","748S",11.2149,11.2233,11.2133,"10.4895","3","","G7","Gulf7","20","0",11.2149,11.2233,11.2133,"10.4895",35.5435,240
"183603",8227672,"2010-05-07 12:07:00.000",53.74,-12.25,10,188.3173681,"Scotland","748S",11.0065,11.0044,35.4739,"10.9744","3","","G7","Gulf7","20","0",11.0065,11.0044,35.4739,"10.9744",35.4739,329
"183608",8227677,"2010-05-07 13:55:00.000",53.75,-12.68,17,200.1622215,"Scotland","748S",10.9855,11.001,10.8494,"10.4034","3","","G7","Gulf7","20","0",10.9855,11.001,10.8494,"10.4034",35.4757,292
"183613",8227682,"2010-05-07 15:53:00.000",53.75,-13.17,9,202.2366679,"Scotland","748S",10.9949,10.9854,10.9634,"10.2571","3","","G7","Gulf7","20","0",10.9949,10.9854,10.9634,"10.2571",35.4638,286
"183618",8227687,"2010-05-07 17:54:00.000",53.75,-13.68,129,167.6031636,"Scotland","748S",11.0055,11.005,10.9741,"10.7804","3","","G7","Gulf7","20","0",11.0055,11.005,10.9741,"10.7804",35.4212,352
"183623",8227692,"2010-05-07 19:59:00.000",53.75,-14.22,130,167.3274674,"Scotland","748S",11.1296,11.1318,11.0946,"10.6485","3","","G7","Gulf7","20","0",11.1296,11.1318,11.0946,"10.6485",35.4415,1286
"183632",8227701,"2010-05-08 00:18:00.000",53.75,-15.22,3,209.6804674,"Scotland","748S",11.1747,11.1792,10.8187,"10.3396","3","","G7","Gulf7","20","0",11.1747,11.1792,10.8187,"10.3396",35.3937,3030
"183638",8227707,"2010-05-08 16:31:00.000",55.4,-12.73,20,126.4134674,"Scotland","748S",11.2604,11.0472,10.9314,"10.4773","3","","G7","Gulf7","20","0",11.2604,11.0472,10.9314,"10.4773",35.4753,2851
"183643",8227712,"2010-05-08 23:10:00.000",56.24,-11.18,7,133.5546734,"Scotland","748S",10.8972,10.8691,10.8095,"10.4568","3","","G7","Gulf7","20","0",10.8972,10.8691,10.8095,"10.4568",35.4556,2551
"183646",8227715,"2010-05-09 07:02:00.000",57.23,-9.34,15,201.362509,"Scotland","748S",10.4435,10.4478,10.3558,"10.2557","3","","G7","Gulf7","20","0",10.4435,10.4478,10.3558,"10.2557",35.444,381
