"","la","lo","t","eggs","stage","a.0","a.1"
"3231",51.121,-5.903,70,0,4,6.2,8.4
"3331",51.124,-5.642,70,0,4,6.2,8.4
"3431",51.125,-5.396,70,0,4,6.2,8.4
"3531",51.182,-5.142,70,0,4,6.2,8.4
"3631",51.082,-5.116,70,0,4,6.2,8.4
"3731",51.063,-4.875,70,0,4,6.2,8.4
"3831",51.175,-4.876,70,0,4,6.2,8.4
"3931",51.126,-4.635,70,0,4,6.2,8.4
"4031",51.124,-4.373,70,0,4,6.2,8.4
"4151",50.924,-4.629,70,0,4,6.2,8.4
"4231",50.927,-4.85,70,0,4,6.2,8.4
"4331",50.931,-5.104,70,0.154,4,6.2,8.4
"4431",50.936,-5.351,70,0.168,4,6.2,8.4
"4531",50.936,-5.603,70,0,4,6.2,8.4
"4631",50.827,-5.624,70,0,4,6.2,8.4
"4731",50.819,-5.403,70,0.661,4,6.2,8.4
"4831",50.817,-5.15,70,0.791,4,6.2,8.4
"4931",50.815,-4.898,70,3.907,4,6.2,8.4
"5031",50.818,-4.622,70,0,4,6.2,8.4
"5151",50.717,-4.699,70,0.925,4,6.2,8.4
"5231",50.615,-4.876,70,0.885,4,6.2,8.4
"5331",50.684,-4.867,70,0.838,4,6.2,8.4
"5431",50.682,-5.102,70,2.186,4,6.2,8.4
"5531",50.682,-5.353,70,0.807,4,6.2,8.4
"5631",50.685,-5.6,70,0.536,4,6.2,8.4
"5731",50.689,-5.851,70,0,4,6.2,8.4
"5831",50.625,-6.099,70,0,4,6.2,8.4
"5931",50.628,-6.351,70,0,4,6.2,8.4
"6031",50.63,-6.609,70,0,4,6.2,8.4
"615",50.375,-6.655,70,0,4,6.2,8.4
"6231",50.425,-6.398,70,0,4,6.2,8.4
"6331",50.438,-6.151,70,0,4,6.2,8.4
"6431",50.556,-5.892,70,0.537,4,6.2,8.4
"6531",50.45,-5.865,70,0.582,4,6.2,8.4
"6631",50.427,-5.612,70,0.159,4,6.2,8.4
"6731",50.574,-5.646,70,0,4,6.2,8.4
"683",50.566,-5.404,70,2.474,4,6.2,8.4
"693",50.568,-5.128,70,0,4,6.2,8.4
"703",50.459,-5.161,70,0,4,6.2,8.4
"715",50.356,-5.237,70,0,4,6.2,8.4
"723",50.251,-5.49,70,0,4,6.2,8.4
"733",50.31,-5.376,70,0,4,6.2,8.4
"743",50.437,-5.361,70,3.735,4,6.2,8.4
"753",50.323,-5.61,70,0,4,6.2,8.4
"763",50.32,-5.854,70,0,4,6.2,8.4
"773",50.316,-6.102,70,0,4,6.2,8.4
"783",50.33,-6.376,70,0,4,6.2,8.4
"793",50.12,-6.393,70,0,4,6.2,8.4
"803",50.176,-6.146,70,0,4,6.2,8.4
"813",50.07,-6.161,70,0,4,6.2,8.4
"118",50.065,-5.879,93.5,8.643,1,0,2.4
"218",50.067,-6.119,93.5,0.207,1,0,2.4
"318",50.118,-6.348,93.5,0,1,0,2.4
"418",50.185,-6.147,93.5,2.241,1,0,2.4
"518",50.187,-5.894,93.5,0.6,1,0,2.4
"618",50.187,-5.665,93.5,0,1,0,2.4
"718",50.231,-5.461,93.5,0,1,0,2.4
"95",50.316,-5.365,93.5,3.701,1,0,2.4
"105",50.317,-5.615,93.5,1.157,1,0,2.4
"119",50.318,-5.853,93.5,0.788,1,0,2.4
"125",50.319,-6.108,93.5,0,1,0,2.4
"135",50.318,-6.338,93.5,0,1,0,2.4
"145",50.364,-6.598,93.5,0,1,0,2.4
"155",50.441,-6.393,93.5,0,1,0,2.4
"165",50.443,-6.145,93.5,0,1,0,2.4
"175",50.448,-5.889,93.5,1.323,1,0,2.4
"185",50.448,-5.644,93.5,0.356,1,0,2.4
"195",50.443,-5.399,93.5,16.858,1,0,2.4
"205",50.44,-5.166,93.5,0.448,1,0,2.4
"219",50.563,-5.115,93.5,0.934,1,0,2.4
"225",50.569,-5.344,93.5,15.231,1,0,2.4
"235",50.567,-5.602,93.5,4.095,1,0,2.4
"245",50.567,-5.852,93.5,3.493,1,0,2.4
"255",50.627,-6.092,93.5,0,1,0,2.4
"265",50.629,-6.37,93.5,0,1,0,2.4
"275",50.622,-6.596,93.5,0,1,0,2.4
"285",50.876,-6.665,93.5,0,1,0,2.4
"295",50.875,-6.412,93.5,0,1,0,2.4
"305",50.876,-6.147,93.5,0,1,0,2.4
"319",50.888,-5.899,93.5,0,1,0,2.4
"325",50.694,-5.905,93.5,2.863,1,0,2.4
"335",50.697,-5.647,93.5,1.945,1,0,2.4
"345",50.695,-5.395,93.5,2.275,1,0,2.4
"355",50.698,-5.144,93.5,5.936,1,0,2.4
"365",50.701,-4.895,93.5,20.465,1,0,2.4
"375",50.827,-4.885,93.5,11.509,1,0,2.4
"385",50.84,-5.151,93.5,4.15,1,0,2.4
"395",50.841,-5.399,93.5,3.462,1,0,2.4
"405",50.838,-5.661,93.5,0,1,0,2.4
"419",50.95,-5.655,93.5,1.504,1,0,2.4
"425",50.947,-5.403,93.5,0.514,1,0,2.4
"435",50.946,-5.156,93.5,1.872,1,0,2.4
"445",50.947,-4.906,93.5,12.32,1,0,2.4
"455",51.078,-4.908,93.5,0.733,1,0,2.4
"465",51.08,-5.156,93.5,0.379,1,0,2.4
"475",51.192,-5.154,93.5,6.103,1,0,2.4
"485",51.136,-5.401,93.5,1.303,1,0,2.4
"495",51.139,-5.654,93.5,0,1,0,2.4
"505",51.124,-5.839,93.5,0,1,0,2.4
"519",51.126,-6.084,93.5,0,1,0,2.4
"525",51.126,-6.344,93.5,0,1,0,2.4
"535",51.116,-6.609,93.5,0,1,0,2.4
"545",51.376,-6.658,93.5,0,1,0,2.4
"555",51.352,-6.377,93.5,0,1,0,2.4
"565",51.619,-6.384,93.5,0.326,1,0,2.4
"575",51.65,-6.123,93.5,0,1,0,2.4
"585",51.383,-6.127,93.5,0,1,0,2.4
"595",51.367,-5.903,93.5,0,1,0,2.4
"605",51.61,-5.895,93.5,0,1,0,2.4
"619",51.645,-5.628,93.5,0,1,0,2.4
"625",51.379,-5.666,93.5,0,1,0,2.4
"635",51.352,-5.374,93.5,0,1,0,2.4
"645",51.631,-5.407,93.5,0,1,0,2.4
"655",51.617,-5.159,93.5,0,1,0,2.4
"665",51.376,-5.155,93.5,0,1,0,2.4
"675",51.58,-4.879,93.5,0,1,0,2.4
"685",51.618,-4.623,93.5,0,1,0,2.4
"695",51.604,-4.417,93.5,0.242,1,0,2.4
"704",51.531,-3.873,93.5,0,1,0,2.4
"719",51.386,-3.877,93.5,0,1,0,2.4
"725",51.25,-3.873,93.5,0,1,0,2.4
"735",51.232,-4.122,93.5,0,1,0,2.4
"744",51.375,-4.098,93.5,0,1,0,2.4
"754",51.367,-4.343,93.5,0,1,0,2.4
"764",51.374,-4.609,93.5,0,1,0,2.4
"774",51.384,-4.874,93.5,0,1,0,2.4
"784",51.189,-4.901,93.5,0,1,0,2.4
"794",51.12,-4.666,93.5,0,1,0,2.4
"804",51.121,-4.394,93.5,0,1,0,2.4
"815",50.945,-4.632,93.5,0,1,0,2.4
"824",50.812,-4.638,93.5,0,1,0,2.4
"834",50.721,-4.71,93.5,0,1,0,2.4
"844",50.62,-4.854,93.5,0.172,1,0,2.4
"1102",50.065,-5.879,93.5,1.44,2,2.4,3.4
"2102",50.067,-6.119,93.5,0,2,2.4,3.4
"3102",50.118,-6.348,93.5,0,2,2.4,3.4
"4102",50.185,-6.147,93.5,0.815,2,2.4,3.4
"5102",50.187,-5.894,93.5,0.799,2,2.4,3.4
"6102",50.187,-5.665,93.5,1.597,2,2.4,3.4
"7101",50.231,-5.461,93.5,0,2,2.4,3.4
"851",50.358,-5.241,93.5,0.785,2,2.4,3.4
"912",50.316,-5.365,93.5,0.779,2,2.4,3.4
"1012",50.317,-5.615,93.5,0,2,2.4,3.4
"1112",50.318,-5.853,93.5,0.985,2,2.4,3.4
"1212",50.319,-6.108,93.5,0,2,2.4,3.4
"1312",50.318,-6.338,93.5,0,2,2.4,3.4
"1412",50.364,-6.598,93.5,0,2,2.4,3.4
"1512",50.441,-6.393,93.5,0,2,2.4,3.4
"1612",50.443,-6.145,93.5,0,2,2.4,3.4
"1712",50.448,-5.889,93.5,0.331,2,2.4,3.4
"1812",50.448,-5.644,93.5,1.424,2,2.4,3.4
"1912",50.443,-5.399,93.5,0.192,2,2.4,3.4
"2012",50.44,-5.166,93.5,1.119,2,2.4,3.4
"2112",50.563,-5.115,93.5,2.99,2,2.4,3.4
"2212",50.569,-5.344,93.5,3.046,2,2.4,3.4
"2312",50.567,-5.602,93.5,1.303,2,2.4,3.4
"2412",50.567,-5.852,93.5,1.331,2,2.4,3.4
"2512",50.627,-6.092,93.5,0,2,2.4,3.4
"2612",50.629,-6.37,93.5,0,2,2.4,3.4
"2712",50.622,-6.596,93.5,0,2,2.4,3.4
"2812",50.876,-6.665,93.5,0,2,2.4,3.4
"2912",50.875,-6.412,93.5,0,2,2.4,3.4
"3012",50.876,-6.147,93.5,0.955,2,2.4,3.4
"3112",50.888,-5.899,93.5,0,2,2.4,3.4
"3212",50.694,-5.905,93.5,1.022,2,2.4,3.4
"3312",50.697,-5.647,93.5,1.08,2,2.4,3.4
"3412",50.695,-5.395,93.5,0.227,2,2.4,3.4
"3512",50.698,-5.144,93.5,1.837,2,2.4,3.4
"3612",50.701,-4.895,93.5,8.078,2,2.4,3.4
"3712",50.827,-4.885,93.5,4.855,2,2.4,3.4
"3812",50.84,-5.151,93.5,0.461,2,2.4,3.4
"3912",50.841,-5.399,93.5,0,2,2.4,3.4
"4012",50.838,-5.661,93.5,0,2,2.4,3.4
"4112",50.95,-5.655,93.5,0,2,2.4,3.4
"4212",50.947,-5.403,93.5,0.171,2,2.4,3.4
"4312",50.946,-5.156,93.5,1.497,2,2.4,3.4
"4412",50.947,-4.906,93.5,0.44,2,2.4,3.4
"4512",51.078,-4.908,93.5,0,2,2.4,3.4
"4612",51.08,-5.156,93.5,1.137,2,2.4,3.4
"4712",51.192,-5.154,93.5,0.763,2,2.4,3.4
"4812",51.136,-5.401,93.5,1.303,2,2.4,3.4
"4912",51.139,-5.654,93.5,0,2,2.4,3.4
"5012",51.124,-5.839,93.5,0,2,2.4,3.4
"5112",51.126,-6.084,93.5,0,2,2.4,3.4
"5212",51.126,-6.344,93.5,0,2,2.4,3.4
"5312",51.116,-6.609,93.5,0,2,2.4,3.4
"5412",51.376,-6.658,93.5,0,2,2.4,3.4
"5512",51.352,-6.377,93.5,0,2,2.4,3.4
"5612",51.619,-6.384,93.5,0,2,2.4,3.4
"5712",51.65,-6.123,93.5,0,2,2.4,3.4
"5812",51.383,-6.127,93.5,0,2,2.4,3.4
"5912",51.367,-5.903,93.5,0,2,2.4,3.4
"6012",51.61,-5.895,93.5,0,2,2.4,3.4
"6112",51.645,-5.628,93.5,0,2,2.4,3.4
"6212",51.379,-5.666,93.5,0,2,2.4,3.4
"6312",51.352,-5.374,93.5,0,2,2.4,3.4
"6412",51.631,-5.407,93.5,0,2,2.4,3.4
"6512",51.617,-5.159,93.5,0,2,2.4,3.4
"6612",51.376,-5.155,93.5,0,2,2.4,3.4
"6712",51.58,-4.879,93.5,0,2,2.4,3.4
"6811",51.618,-4.623,93.5,0,2,2.4,3.4
"6911",51.604,-4.417,93.5,0,2,2.4,3.4
"7011",51.531,-3.873,93.5,0,2,2.4,3.4
"7111",51.386,-3.877,93.5,0,2,2.4,3.4
"7211",51.25,-3.873,93.5,0,2,2.4,3.4
"7311",51.232,-4.122,93.5,0,2,2.4,3.4
"7411",51.375,-4.098,93.5,0,2,2.4,3.4
"7511",51.367,-4.343,93.5,0,2,2.4,3.4
"7611",51.374,-4.609,93.5,0,2,2.4,3.4
"7711",51.384,-4.874,93.5,0,2,2.4,3.4
"7811",51.189,-4.901,93.5,0.295,2,2.4,3.4
"7911",51.12,-4.666,93.5,0,2,2.4,3.4
"8011",51.121,-4.394,93.5,0,2,2.4,3.4
"8111",50.945,-4.632,93.5,0,2,2.4,3.4
"8211",50.812,-4.638,93.5,0,2,2.4,3.4
"8311",50.721,-4.71,93.5,0,2,2.4,3.4
"841",50.62,-4.854,93.5,0,2,2.4,3.4
"1122",50.065,-5.879,93.5,0.412,3,3.4,6.2
"2122",50.067,-6.119,93.5,0,3,3.4,6.2
"3122",50.118,-6.348,93.5,0,3,3.4,6.2
"4122",50.185,-6.147,93.5,1.426,3,3.4,6.2
"5122",50.187,-5.894,93.5,2.199,3,3.4,6.2
"6122",50.187,-5.665,93.5,0,3,3.4,6.2
"7121",50.231,-5.461,93.5,1.089,3,3.4,6.2
"86",50.358,-5.241,93.5,1.767,3,3.4,6.2
"922",50.316,-5.365,93.5,0,3,3.4,6.2
"1022",50.317,-5.615,93.5,0,3,3.4,6.2
"1132",50.318,-5.853,93.5,1.576,3,3.4,6.2
"1222",50.319,-6.108,93.5,0,3,3.4,6.2
"1322",50.318,-6.338,93.5,0,3,3.4,6.2
"1422",50.364,-6.598,93.5,0,3,3.4,6.2
"1522",50.441,-6.393,93.5,0.873,3,3.4,6.2
"1622",50.443,-6.145,93.5,0.898,3,3.4,6.2
"1722",50.448,-5.889,93.5,0,3,3.4,6.2
"1822",50.448,-5.644,93.5,0.534,3,3.4,6.2
"1922",50.443,-5.399,93.5,4.789,3,3.4,6.2
"2022",50.44,-5.166,93.5,0.224,3,3.4,6.2
"2132",50.563,-5.115,93.5,12.146,3,3.4,6.2
"2222",50.569,-5.344,93.5,7.108,3,3.4,6.2
"2322",50.567,-5.602,93.5,1.675,3,3.4,6.2
"2422",50.567,-5.852,93.5,6.154,3,3.4,6.2
"2522",50.627,-6.092,93.5,0,3,3.4,6.2
"2622",50.629,-6.37,93.5,0,3,3.4,6.2
"2722",50.622,-6.596,93.5,0,3,3.4,6.2
"2822",50.876,-6.665,93.5,0,3,3.4,6.2
"2922",50.875,-6.412,93.5,0,3,3.4,6.2
"3022",50.876,-6.147,93.5,0,3,3.4,6.2
"3132",50.888,-5.899,93.5,0,3,3.4,6.2
"3222",50.694,-5.905,93.5,1.022,3,3.4,6.2
"3322",50.697,-5.647,93.5,4.538,3,3.4,6.2
"3422",50.695,-5.395,93.5,9.326,3,3.4,6.2
"3522",50.698,-5.144,93.5,12.437,3,3.4,6.2
"3622",50.701,-4.895,93.5,20.465,3,3.4,6.2
"3722",50.827,-4.885,93.5,4.496,3,3.4,6.2
"3822",50.84,-5.151,93.5,4.765,3,3.4,6.2
"3922",50.841,-5.399,93.5,0.962,3,3.4,6.2
"4022",50.838,-5.661,93.5,0.866,3,3.4,6.2
"4132",50.95,-5.655,93.5,1.504,3,3.4,6.2
"4222",50.947,-5.403,93.5,2.229,3,3.4,6.2
"4322",50.946,-5.156,93.5,2.808,3,3.4,6.2
"4422",50.947,-4.906,93.5,2.2,3,3.4,6.2
"4522",51.078,-4.908,93.5,0.55,3,3.4,6.2
"4622",51.08,-5.156,93.5,1.516,3,3.4,6.2
"4722",51.192,-5.154,93.5,1.335,3,3.4,6.2
"4822",51.136,-5.401,93.5,1.738,3,3.4,6.2
"4922",51.139,-5.654,93.5,0,3,3.4,6.2
"5022",51.124,-5.839,93.5,0,3,3.4,6.2
"5132",51.126,-6.084,93.5,0,3,3.4,6.2
"5222",51.126,-6.344,93.5,0,3,3.4,6.2
"5322",51.116,-6.609,93.5,0,3,3.4,6.2
"5422",51.376,-6.658,93.5,0,3,3.4,6.2
"5522",51.352,-6.377,93.5,0,3,3.4,6.2
"5622",51.619,-6.384,93.5,0,3,3.4,6.2
"5722",51.65,-6.123,93.5,0,3,3.4,6.2
"5822",51.383,-6.127,93.5,0.263,3,3.4,6.2
"5922",51.367,-5.903,93.5,0,3,3.4,6.2
"6022",51.61,-5.895,93.5,0,3,3.4,6.2
"6132",51.645,-5.628,93.5,0,3,3.4,6.2
"6222",51.379,-5.666,93.5,0,3,3.4,6.2
"6322",51.352,-5.374,93.5,0,3,3.4,6.2
"6422",51.631,-5.407,93.5,0,3,3.4,6.2
"6522",51.617,-5.159,93.5,0,3,3.4,6.2
"6622",51.376,-5.155,93.5,0,3,3.4,6.2
"6722",51.58,-4.879,93.5,0,3,3.4,6.2
"6821",51.618,-4.623,93.5,0,3,3.4,6.2
"6921",51.604,-4.417,93.5,0,3,3.4,6.2
"7021",51.531,-3.873,93.5,0,3,3.4,6.2
"7131",51.386,-3.877,93.5,0,3,3.4,6.2
"7221",51.25,-3.873,93.5,0,3,3.4,6.2
"7321",51.232,-4.122,93.5,0,3,3.4,6.2
"7421",51.375,-4.098,93.5,0,3,3.4,6.2
"7521",51.367,-4.343,93.5,0,3,3.4,6.2
"7621",51.374,-4.609,93.5,0,3,3.4,6.2
"7721",51.384,-4.874,93.5,0,3,3.4,6.2
"7821",51.189,-4.901,93.5,0.59,3,3.4,6.2
"7921",51.12,-4.666,93.5,0,3,3.4,6.2
"8021",51.121,-4.394,93.5,0,3,3.4,6.2
"8121",50.945,-4.632,93.5,0,3,3.4,6.2
"822",50.812,-4.638,93.5,0,3,3.4,6.2
"832",50.721,-4.71,93.5,0,3,3.4,6.2
"842",50.62,-4.854,93.5,1.549,3,3.4,6.2
"1142",50.065,-5.879,93.5,0.206,4,6.2,8.4
"2142",50.067,-6.119,93.5,0,4,6.2,8.4
"3142",50.118,-6.348,93.5,0.187,4,6.2,8.4
"4142",50.185,-6.147,93.5,0,4,6.2,8.4
"5142",50.187,-5.894,93.5,0.6,4,6.2,8.4
"6141",50.187,-5.665,93.5,0,4,6.2,8.4
"7141",50.231,-5.461,93.5,1.089,4,6.2,8.4
"87",50.358,-5.241,93.5,0.393,4,6.2,8.4
"932",50.316,-5.365,93.5,0,4,6.2,8.4
"1032",50.317,-5.615,93.5,0,4,6.2,8.4
"1152",50.318,-5.853,93.5,0.985,4,6.2,8.4
"1232",50.319,-6.108,93.5,0,4,6.2,8.4
"1332",50.318,-6.338,93.5,0,4,6.2,8.4
"1432",50.364,-6.598,93.5,0,4,6.2,8.4
"1532",50.441,-6.393,93.5,0.873,4,6.2,8.4
"1632",50.443,-6.145,93.5,0.898,4,6.2,8.4
"1732",50.448,-5.889,93.5,0,4,6.2,8.4
"1832",50.448,-5.644,93.5,0.178,4,6.2,8.4
"1932",50.443,-5.399,93.5,1.149,4,6.2,8.4
"2032",50.44,-5.166,93.5,0,4,6.2,8.4
"2152",50.563,-5.115,93.5,5.606,4,6.2,8.4
"2232",50.569,-5.344,93.5,4.265,4,6.2,8.4
"2332",50.567,-5.602,93.5,0.931,4,6.2,8.4
"2432",50.567,-5.852,93.5,5.156,4,6.2,8.4
"2532",50.627,-6.092,93.5,0,4,6.2,8.4
"2632",50.629,-6.37,93.5,0,4,6.2,8.4
"2732",50.622,-6.596,93.5,0,4,6.2,8.4
"2832",50.876,-6.665,93.5,0,4,6.2,8.4
"2932",50.875,-6.412,93.5,0.218,4,6.2,8.4
"3032",50.876,-6.147,93.5,0,4,6.2,8.4
"3152",50.888,-5.899,93.5,0,4,6.2,8.4
"3232",50.694,-5.905,93.5,0.818,4,6.2,8.4
"3332",50.697,-5.647,93.5,0.216,4,6.2,8.4
"3432",50.695,-5.395,93.5,2.502,4,6.2,8.4
"3532",50.698,-5.144,93.5,5.936,4,6.2,8.4
"3632",50.701,-4.895,93.5,4.847,4,6.2,8.4
"3732",50.827,-4.885,93.5,2.338,4,6.2,8.4
"3832",50.84,-5.151,93.5,3.381,4,6.2,8.4
"3932",50.841,-5.399,93.5,0.962,4,6.2,8.4
"4032",50.838,-5.661,93.5,0.866,4,6.2,8.4
"4152",50.95,-5.655,93.5,0.564,4,6.2,8.4
"4232",50.947,-5.403,93.5,0.343,4,6.2,8.4
"4332",50.946,-5.156,93.5,1.872,4,6.2,8.4
"4432",50.947,-4.906,93.5,1.76,4,6.2,8.4
"4532",51.078,-4.908,93.5,0.183,4,6.2,8.4
"4632",51.08,-5.156,93.5,0.948,4,6.2,8.4
"4732",51.192,-5.154,93.5,2.289,4,6.2,8.4
"4832",51.136,-5.401,93.5,0.217,4,6.2,8.4
"4932",51.139,-5.654,93.5,0,4,6.2,8.4
"5032",51.124,-5.839,93.5,0,4,6.2,8.4
"5152",51.126,-6.084,93.5,0,4,6.2,8.4
"5232",51.126,-6.344,93.5,0,4,6.2,8.4
"5332",51.116,-6.609,93.5,0,4,6.2,8.4
"5432",51.376,-6.658,93.5,0,4,6.2,8.4
"5532",51.352,-6.377,93.5,0,4,6.2,8.4
"5632",51.619,-6.384,93.5,0,4,6.2,8.4
"5732",51.65,-6.123,93.5,0,4,6.2,8.4
"5832",51.383,-6.127,93.5,0,4,6.2,8.4
"5932",51.367,-5.903,93.5,0,4,6.2,8.4
"6032",51.61,-5.895,93.5,0,4,6.2,8.4
"6151",51.645,-5.628,93.5,0,4,6.2,8.4
"6232",51.379,-5.666,93.5,0,4,6.2,8.4
"6332",51.352,-5.374,93.5,0,4,6.2,8.4
"6432",51.631,-5.407,93.5,0,4,6.2,8.4
"6532",51.617,-5.159,93.5,0,4,6.2,8.4
"6632",51.376,-5.155,93.5,0,4,6.2,8.4
"6732",51.58,-4.879,93.5,0,4,6.2,8.4
"6831",51.618,-4.623,93.5,0,4,6.2,8.4
"6931",51.604,-4.417,93.5,0,4,6.2,8.4
"7031",51.531,-3.873,93.5,0,4,6.2,8.4
"7151",51.386,-3.877,93.5,0,4,6.2,8.4
"7231",51.25,-3.873,93.5,0,4,6.2,8.4
"7331",51.232,-4.122,93.5,0,4,6.2,8.4
"7431",51.375,-4.098,93.5,0,4,6.2,8.4
"7531",51.367,-4.343,93.5,0,4,6.2,8.4
"7631",51.374,-4.609,93.5,0,4,6.2,8.4
"7731",51.384,-4.874,93.5,0.751,4,6.2,8.4
"7831",51.189,-4.901,93.5,0.443,4,6.2,8.4
"7931",51.12,-4.666,93.5,0,4,6.2,8.4
"8031",51.121,-4.394,93.5,0,4,6.2,8.4
"8131",50.945,-4.632,93.5,0,4,6.2,8.4
"823",50.812,-4.638,93.5,0,4,6.2,8.4
"833",50.721,-4.71,93.5,0,4,6.2,8.4
"843",50.62,-4.854,93.5,2.582,4,6.2,8.4
"120",51.6,-4.438,110.5,0,1,0,2.4
"220",51.626,-4.643,110.5,0,1,0,2.4
"320",51.577,-4.869,110.5,0,1,0,2.4
"420",51.61,-5.172,110.5,0,1,0,2.4
"520",51.634,-5.4,110.5,0,1,0,2.4
"620",51.639,-5.638,110.5,0,1,0,2.4
"720",51.636,-5.873,110.5,0,1,0,2.4
"89",51.638,-6.159,110.5,0,1,0,2.4
"96",51.642,-6.356,110.5,0.172,1,0,2.4
"106",51.376,-6.665,110.5,0,1,0,2.4
"1110",51.377,-6.409,110.5,0,1,0,2.4
"126",51.377,-6.158,110.5,0,1,0,2.4
"136",51.375,-5.912,110.5,0,1,0,2.4
"146",51.373,-5.656,110.5,0,1,0,2.4
"156",51.373,-5.406,110.5,0,1,0,2.4
"166",51.374,-5.149,110.5,0,1,0,2.4
"176",51.377,-4.898,110.5,0.168,1,0,2.4
"186",51.374,-4.652,110.5,0,1,0,2.4
"196",51.378,-4.403,110.5,0.129,1,0,2.4
"206",51.376,-4.154,110.5,0,1,0,2.4
"2110",51.532,-3.903,110.5,0,1,0,2.4
"226",51.379,-3.901,110.5,0,1,0,2.4
"236",51.242,-3.89,110.5,0,1,0,2.4
"246",51.226,-4.146,110.5,0,1,0,2.4
"256",51.225,-4.137,110.5,0,1,0,2.4
"266",51.129,-4.381,110.5,0,1,0,2.4
"276",51.134,-4.647,110.5,0,1,0,2.4
"286",51.194,-4.9,110.5,0.671,1,0,2.4
"296",51.075,-4.901,110.5,0.32,1,0,2.4
"306",51.083,-5.149,110.5,0,1,0,2.4
"3110",51.206,-5.126,110.5,0.956,1,0,2.4
"326",51.147,-5.37,110.5,0.934,1,0,2.4
"336",51.143,-5.611,110.5,0,1,0,2.4
"346",51.129,-5.866,110.5,0,1,0,2.4
"356",51.143,-6.102,110.5,0,1,0,2.4
"366",51.151,-6.36,110.5,0,1,0,2.4
"376",51.142,-6.606,110.5,0,1,0,2.4
"386",50.901,-6.635,110.5,0,1,0,2.4
"396",50.903,-6.364,110.5,0,1,0,2.4
"406",50.891,-6.12,110.5,0,1,0,2.4
"4110",50.896,-5.864,110.5,0,1,0,2.4
"426",50.959,-5.626,110.5,0.833,1,0,2.4
"436",50.957,-5.371,110.5,0,1,0,2.4
"446",50.958,-5.117,110.5,0.821,1,0,2.4
"456",50.934,-4.903,110.5,1.37,1,0,2.4
"466",50.942,-4.622,110.5,0,1,0,2.4
"476",50.834,-4.615,110.5,0,1,0,2.4
"486",50.728,-4.695,110.5,0,1,0,2.4
"496",50.618,-4.878,110.5,3.074,1,0,2.4
"506",50.676,-4.875,110.5,1.439,1,0,2.4
"5110",50.816,-4.865,110.5,0.92,1,0,2.4
"526",50.818,-5.102,110.5,0.178,1,0,2.4
"536",50.817,-5.346,110.5,0,1,0,2.4
"546",50.825,-5.609,110.5,0,1,0,2.4
"556",50.687,-5.908,110.5,0,1,0,2.4
"566",50.684,-5.652,110.5,0.167,1,0,2.4
"576",50.683,-5.394,110.5,0.521,1,0,2.4
"586",50.693,-5.141,110.5,4.165,1,0,2.4
"596",50.576,-5.11,110.5,4.919,1,0,2.4
"606",50.568,-5.354,110.5,2.992,1,0,2.4
"6110",50.566,-5.596,110.5,0.871,1,0,2.4
"626",50.564,-5.843,110.5,0.187,1,0,2.4
"636",50.623,-6.097,110.5,0,1,0,2.4
"646",50.626,-6.35,110.5,0,1,0,2.4
"656",50.653,-6.624,110.5,0,1,0,2.4
"666",50.397,-6.628,110.5,0,1,0,2.4
"676",50.436,-6.396,110.5,0,1,0,2.4
"686",50.451,-6.127,110.5,0,1,0,2.4
"696",50.443,-5.874,110.5,1.24,1,0,2.4
"705",50.443,-5.63,110.5,0.864,1,0,2.4
"7110",50.459,-5.39,110.5,5.688,1,0,2.4
"726",50.457,-5.154,110.5,0.188,1,0,2.4
"736",50.366,-5.243,110.5,1.789,1,0,2.4
"745",50.325,-5.356,110.5,5.092,1,0,2.4
"755",50.234,-5.47,110.5,0,1,0,2.4
"765",50.193,-5.652,110.5,0,1,0,2.4
"775",50.318,-5.606,110.5,0,1,0,2.4
"785",50.322,-5.853,110.5,0,1,0,2.4
"795",50.193,-5.863,110.5,2.005,1,0,2.4
"805",50.177,-6.123,110.5,0.821,1,0,2.4
"816",50.294,-6.129,110.5,0.17,1,0,2.4
"825",50.332,-6.379,110.5,0,1,0,2.4
"835",50.142,-6.4,110.5,0,1,0,2.4
"845",50.068,-6.152,110.5,0,1,0,2.4
"854",50.05,-5.877,110.5,0,1,0,2.4
"1103",51.6,-4.438,110.5,0,2,2.4,3.4
"2103",51.626,-4.643,110.5,0.101,2,2.4,3.4
"3103",51.577,-4.869,110.5,0,2,2.4,3.4
"4103",51.61,-5.172,110.5,0,2,2.4,3.4
"5103",51.634,-5.4,110.5,0,2,2.4,3.4
"6103",51.639,-5.638,110.5,0,2,2.4,3.4
"7102",51.636,-5.873,110.5,0,2,2.4,3.4
"861",51.638,-6.159,110.5,0,2,2.4,3.4
"913",51.642,-6.356,110.5,1.545,2,2.4,3.4
"1013",51.376,-6.665,110.5,0,2,2.4,3.4
"1113",51.377,-6.409,110.5,0,2,2.4,3.4
"1213",51.377,-6.158,110.5,0,2,2.4,3.4
"1313",51.375,-5.912,110.5,0,2,2.4,3.4
"1413",51.373,-5.656,110.5,0,2,2.4,3.4
"1513",51.373,-5.406,110.5,0,2,2.4,3.4
"1613",51.374,-5.149,110.5,0,2,2.4,3.4
"1713",51.377,-4.898,110.5,0.168,2,2.4,3.4
"1813",51.374,-4.652,110.5,0,2,2.4,3.4
"1913",51.378,-4.403,110.5,0,2,2.4,3.4
"2013",51.376,-4.154,110.5,0,2,2.4,3.4
