"","QUADRICULA","TET","crestlark","linnet","x","y"
"22251","PF49","A",NA,NA,641000,4591000
"22256","PF49","F",0,1,643000,4591000
"22261","PF49","K",NA,NA,645000,4591000
"22266","PF49","Q",1,0,647000,4591000
"22271","PF49","V",NA,NA,649000,4591000
"22501","PF59","A",0,0,651000,4591000
"22506","PF59","F",NA,NA,653000,4591000
"22511","PF59","K",NA,NA,655000,4591000
"22516","PF59","Q",0,0,657000,4591000
"22521","PF59","V",0,1,659000,4591000
"22751","PF69","A",NA,NA,661000,4591000
"22756","PF69","F",NA,NA,663000,4591000
"22761","PF69","K",0,0,665000,4591000
"22766","PF69","Q",NA,NA,667000,4591000
"22771","PF69","V",0,0,669000,4591000
"23001","PF79","A",0,0,671000,4591000
"23006","PF79","F",NA,NA,673000,4591000
"23011","PF79","K",0,0,675000,4591000
"23016","PF79","Q",NA,NA,677000,4591000
"23021","PF79","V",NA,NA,679000,4591000
"23251","PF89","A",NA,NA,681000,4591000
"23256","PF89","F",NA,NA,683000,4591000
"23261","PF89","K",0,1,685000,4591000
"23266","PF89","Q",NA,NA,687000,4591000
"23271","PF89","V",NA,NA,689000,4591000
"23376","PF99","A",NA,NA,691000,4591000
"23381","PF99","F",NA,NA,693000,4591000
"23386","PF99","K",NA,NA,695000,4591000
"23391","PF99","Q",NA,NA,697000,4591000
"23396","PF99","V",0,1,699000,4591000
"24676","QF09","A",NA,NA,701000,4591000
"24681","QF09","F",0,1,703000,4591000
"24686","QF09","K",NA,NA,705000,4591000
"24691","QF09","Q",NA,NA,707000,4591000
"24696","QF09","V",0,1,709000,4591000
"24751","QF19","A",0,1,711000,4591000
"24756","QF19","F",NA,NA,713000,4591000
"24761","QF19","K",NA,NA,715000,4591000
"24766","QF19","Q",0,1,717000,4591000
"24771","QF19","V",1,1,719000,4591000
"24801","QF29","A",0,0,721000,4591000
"24806","QF29","F",0,1,723000,4591000
"24811","QF29","K",0,0,725000,4591000
"24816","QF29","Q",NA,NA,727000,4591000
"24821","QF29","V",NA,NA,729000,4591000
"10905","NF18","E",NA,NA,511000,4589000
"10910","NF18","J",NA,NA,513000,4589000
"10915","NF18","P",NA,NA,515000,4589000
"10920","NF18","U",NA,NA,517000,4589000
"10925","NF18","Z",NA,NA,519000,4589000
"11155","NF28","E",NA,NA,521000,4589000
"11160","NF28","J",NA,NA,523000,4589000
"11165","NF28","P",NA,NA,525000,4589000
"11170","NF28","U",NA,NA,527000,4589000
"11175","NF28","Z",NA,NA,529000,4589000
"11405","NF38","E",NA,NA,531000,4589000
"11410","NF38","J",NA,NA,533000,4589000
"11415","NF38","P",NA,NA,535000,4589000
"11420","NF38","U",0,0,537000,4589000
"11425","NF38","Z",NA,NA,539000,4589000
"11655","NF48","E",NA,NA,541000,4589000
"11660","NF48","J",NA,NA,543000,4589000
"11665","NF48","P",NA,NA,545000,4589000
"11670","NF48","U",NA,NA,547000,4589000
"11675","NF48","Z",NA,NA,549000,4589000
"11905","NF58","E",NA,NA,551000,4589000
"11910","NF58","J",NA,NA,553000,4589000
"11915","NF58","P",0,0,555000,4589000
"11920","NF58","U",NA,NA,557000,4589000
"11925","NF58","Z",0,0,559000,4589000
"12155","NF68","E",NA,NA,561000,4589000
"12160","NF68","J",NA,NA,563000,4589000
"12165","NF68","P",NA,NA,565000,4589000
"12170","NF68","U",0,0,567000,4589000
"12175","NF68","Z",NA,NA,569000,4589000
"12405","NF78","E",0,1,571000,4589000
"12410","NF78","J",NA,NA,573000,4589000
"12415","NF78","P",0,0,575000,4589000
"12420","NF78","U",NA,NA,577000,4589000
"12425","NF78","Z",NA,NA,579000,4589000
"12655","NF88","E",NA,NA,581000,4589000
"12660","NF88","J",NA,NA,583000,4589000
"12665","NF88","P",NA,NA,585000,4589000
"12670","NF88","U",NA,NA,587000,4589000
"12675","NF88","Z",0,1,589000,4589000
"12905","NF98","E",NA,NA,591000,4589000
"12910","NF98","J",NA,NA,593000,4589000
"12915","NF98","P",0,1,595000,4589000
"12920","NF98","U",NA,NA,597000,4589000
"12925","NF98","Z",NA,NA,599000,4589000
"21230","PF08","E",NA,NA,601000,4589000
"21235","PF08","J",NA,NA,603000,4589000
"21240","PF08","P",NA,NA,605000,4589000
"21245","PF08","U",NA,NA,607000,4589000
"21250","PF08","Z",NA,NA,609000,4589000
"21480","PF18","E",NA,NA,611000,4589000
"21485","PF18","J",0,0,613000,4589000
"21490","PF18","P",NA,NA,615000,4589000
"21495","PF18","U",NA,NA,617000,4589000
"21500","PF18","Z",0,0,619000,4589000
"21730","PF28","E",0,1,621000,4589000
"21735","PF28","J",NA,NA,623000,4589000
"21740","PF28","P",0,1,625000,4589000
"21745","PF28","U",NA,NA,627000,4589000
"21750","PF28","Z",0,0,629000,4589000
"21980","PF38","E",NA,NA,631000,4589000
"21985","PF38","J",0,1,633000,4589000
"21990","PF38","P",NA,NA,635000,4589000
"21995","PF38","U",0,1,637000,4589000
"22000","PF38","Z",NA,NA,639000,4589000
"22230","PF48","E",0,1,641000,4589000
"22235","PF48","J",NA,NA,643000,4589000
"22240","PF48","P",NA,NA,645000,4589000
"22245","PF48","U",0,1,647000,4589000
"22250","PF48","Z",NA,NA,649000,4589000
"22480","PF58","E",0,0,651000,4589000
"22485","PF58","J",NA,NA,653000,4589000
"22490","PF58","P",NA,NA,655000,4589000
"22495","PF58","U",NA,NA,657000,4589000
"22500","PF58","Z",0,0,659000,4589000
"22730","PF68","E",NA,NA,661000,4589000
"22735","PF68","J",0,1,663000,4589000
"22740","PF68","P",NA,NA,665000,4589000
"22745","PF68","U",0,1,667000,4589000
"22750","PF68","Z",NA,NA,669000,4589000
"22980","PF78","E",NA,NA,671000,4589000
"22985","PF78","J",1,1,673000,4589000
"22990","PF78","P",NA,NA,675000,4589000
"22995","PF78","U",0,1,677000,4589000
"23000","PF78","Z",NA,NA,679000,4589000
"23230","PF88","E",NA,NA,681000,4589000
"23235","PF88","J",NA,NA,683000,4589000
"23240","PF88","P",NA,NA,685000,4589000
"23245","PF88","U",0,1,687000,4589000
"23250","PF88","Z",NA,NA,689000,4589000
"23355","PF98","E",0,0,691000,4589000
"23360","PF98","J",NA,NA,693000,4589000
"23365","PF98","P",NA,NA,695000,4589000
"23370","PF98","U",NA,NA,697000,4589000
"23375","PF98","Z",NA,NA,699000,4589000
"24655","QF08","E",0,1,701000,4589000
"24660","QF08","J",NA,NA,703000,4589000
"24665","QF08","P",1,0,705000,4589000
"24670","QF08","U",NA,NA,707000,4589000
"24675","QF08","Z",NA,NA,709000,4589000
"24730","QF18","E",0,1,711000,4589000
"24735","QF18","J",NA,NA,713000,4589000
"24740","QF18","P",0,1,715000,4589000
"24745","QF18","U",0,1,717000,4589000
"24750","QF18","Z",0,0,719000,4589000
"24780","QF28","E",NA,NA,721000,4589000
"24785","QF28","J",NA,NA,723000,4589000
"24790","QF28","P",NA,NA,725000,4589000
"24795","QF28","U",NA,NA,727000,4589000
"24800","QF28","Z",NA,NA,729000,4589000
"10904","NF18","D",NA,NA,511000,4587000
"10909","NF18","I",NA,NA,513000,4587000
"10914","NF18","N",NA,NA,515000,4587000
"10919","NF18","T",NA,NA,517000,4587000
"10924","NF18","Y",NA,NA,519000,4587000
"11154","NF28","D",NA,NA,521000,4587000
"11159","NF28","I",NA,NA,523000,4587000
"11164","NF28","N",NA,NA,525000,4587000
"11169","NF28","T",NA,NA,527000,4587000
"11174","NF28","Y",NA,NA,529000,4587000
"11404","NF38","D",NA,NA,531000,4587000
"11409","NF38","I",NA,NA,533000,4587000
"11414","NF38","N",NA,NA,535000,4587000
"11419","NF38","T",NA,NA,537000,4587000
"11424","NF38","Y",0,1,539000,4587000
"11654","NF48","D",NA,NA,541000,4587000
"11659","NF48","I",0,0,543000,4587000
"11664","NF48","N",NA,NA,545000,4587000
"11669","NF48","T",0,0,547000,4587000
"11674","NF48","Y",NA,NA,549000,4587000
"11904","NF58","D",0,0,551000,4587000
"11909","NF58","I",NA,NA,553000,4587000
"11914","NF58","N",NA,NA,555000,4587000
"11919","NF58","T",0,0,557000,4587000
"11924","NF58","Y",NA,NA,559000,4587000
"12154","NF68","D",NA,NA,561000,4587000
"12159","NF68","I",NA,NA,563000,4587000
"12164","NF68","N",0,0,565000,4587000
"12169","NF68","T",NA,NA,567000,4587000
"12174","NF68","Y",0,0,569000,4587000
"12404","NF78","D",NA,NA,571000,4587000
"12409","NF78","I",NA,NA,573000,4587000
"12414","NF78","N",NA,NA,575000,4587000
"12419","NF78","T",0,0,577000,4587000
"12424","NF78","Y",NA,NA,579000,4587000
"12654","NF88","D",NA,NA,581000,4587000
"12659","NF88","I",NA,NA,583000,4587000
"12664","NF88","N",0,1,585000,4587000
"12669","NF88","T",NA,NA,587000,4587000
"12674","NF88","Y",NA,NA,589000,4587000
"12904","NF98","D",NA,NA,591000,4587000
"12909","NF98","I",NA,NA,593000,4587000
"12914","NF98","N",NA,NA,595000,4587000
"12919","NF98","T",0,0,597000,4587000
"12924","NF98","Y",NA,NA,599000,4587000
"21229","PF08","D",NA,NA,601000,4587000
"21234","PF08","I",NA,NA,603000,4587000
"21239","PF08","N",NA,NA,605000,4587000
"21244","PF08","T",NA,NA,607000,4587000
"21249","PF08","Y",NA,NA,609000,4587000
"21479","PF18","D",NA,NA,611000,4587000
"21484","PF18","I",NA,NA,613000,4587000
"21489","PF18","N",0,1,615000,4587000
"21494","PF18","T",NA,NA,617000,4587000
"21499","PF18","Y",NA,NA,619000,4587000
"21729","PF28","D",NA,NA,621000,4587000
"21734","PF28","I",NA,NA,623000,4587000
"21739","PF28","N",NA,NA,625000,4587000
"21744","PF28","T",NA,NA,627000,4587000
"21749","PF28","Y",NA,NA,629000,4587000
"21979","PF38","D",NA,NA,631000,4587000
"21984","PF38","I",NA,NA,633000,4587000
"21989","PF38","N",NA,NA,635000,4587000
"21994","PF38","T",NA,NA,637000,4587000
"21999","PF38","Y",0,0,639000,4587000
"22229","PF48","D",NA,NA,641000,4587000
"22234","PF48","I",NA,NA,643000,4587000
"22239","PF48","N",0,1,645000,4587000
"22244","PF48","T",NA,NA,647000,4587000
"22249","PF48","Y",0,0,649000,4587000
"22479","PF58","D",NA,NA,651000,4587000
"22484","PF58","I",0,1,653000,4587000
"22489","PF58","N",NA,NA,655000,4587000
"22494","PF58","T",NA,NA,657000,4587000
"22499","PF58","Y",NA,NA,659000,4587000
"22729","PF68","D",0,1,661000,4587000
"22734","PF68","I",NA,NA,663000,4587000
"22739","PF68","N",0,1,665000,4587000
"22744","PF68","T",NA,NA,667000,4587000
"22749","PF68","Y",NA,NA,669000,4587000
"22979","PF78","D",NA,NA,671000,4587000
"22984","PF78","I",NA,NA,673000,4587000
"22989","PF78","N",1,1,675000,4587000
"22994","PF78","T",NA,NA,677000,4587000
"22999","PF78","Y",1,1,679000,4587000
"23229","PF88","D",0,1,681000,4587000
"23234","PF88","I",NA,NA,683000,4587000
"23239","PF88","N",0,0,685000,4587000
"23244","PF88","T",NA,NA,687000,4587000
"23249","PF88","Y",0,1,689000,4587000
"23354","PF98","D",NA,NA,691000,4587000
"23359","PF98","I",NA,NA,693000,4587000
"23364","PF98","N",NA,NA,695000,4587000
"23369","PF98","T",0,0,697000,4587000
"23374","PF98","Y",0,1,699000,4587000
"24654","QF08","D",NA,NA,701000,4587000
"24659","QF08","I",NA,NA,703000,4587000
"24664","QF08","N",NA,NA,705000,4587000
"24669","QF08","T",0,1,707000,4587000
"24674","QF08","Y",NA,NA,709000,4587000
"24729","QF18","D",NA,NA,711000,4587000
"24734","QF18","I",NA,NA,713000,4587000
"24739","QF18","N",0,1,715000,4587000
"24744","QF18","T",0,1,717000,4587000
"24749","QF18","Y",0,0,719000,4587000
"24779","QF28","D",NA,NA,721000,4587000
"24784","QF28","I",NA,NA,723000,4587000
"24789","QF28","N",NA,NA,725000,4587000
"24794","QF28","T",NA,NA,727000,4587000
"24799","QF28","Y",NA,NA,729000,4587000
"10903","NF18","C",NA,NA,511000,4585000
"10908","NF18","H",NA,NA,513000,4585000
"10913","NF18","M",NA,NA,515000,4585000
"10918","NF18","S",NA,NA,517000,4585000
"10923","NF18","X",NA,NA,519000,4585000
"11153","NF28","C",NA,NA,521000,4585000
"11158","NF28","H",NA,NA,523000,4585000
"11163","NF28","M",NA,NA,525000,4585000
"11168","NF28","S",NA,NA,527000,4585000
"11173","NF28","X",NA,NA,529000,4585000
"11403","NF38","C",NA,NA,531000,4585000
"11408","NF38","H",0,0,533000,4585000
"11413","NF38","M",NA,NA,535000,4585000
"11418","NF38","S",NA,NA,537000,4585000
"11423","NF38","X",NA,NA,539000,4585000
"11653","NF48","C",NA,NA,541000,4585000
"11658","NF48","H",NA,NA,543000,4585000
"11663","NF48","M",0,0,545000,4585000
"11668","NF48","S",NA,NA,547000,4585000
"11673","NF48","X",NA,NA,549000,4585000
"11903","NF58","C",NA,NA,551000,4585000
"11908","NF58","H",NA,NA,553000,4585000
"11913","NF58","M",NA,NA,555000,4585000
"11918","NF58","S",NA,NA,557000,4585000
"11923","NF58","X",0,0,559000,4585000
"12153","NF68","C",NA,NA,561000,4585000
"12158","NF68","H",NA,NA,563000,4585000
"12163","NF68","M",NA,NA,565000,4585000
"12168","NF68","S",0,0,567000,4585000
"12173","NF68","X",NA,NA,569000,4585000
"12403","NF78","C",NA,NA,571000,4585000
"12408","NF78","H",NA,NA,573000,4585000
"12413","NF78","M",NA,NA,575000,4585000
"12418","NF78","S",NA,NA,577000,4585000
"12423","NF78","X",NA,NA,579000,4585000
"12653","NF88","C",NA,NA,581000,4585000
"12658","NF88","H",NA,NA,583000,4585000
"12663","NF88","M",NA,NA,585000,4585000
"12668","NF88","S",NA,NA,587000,4585000
"12673","NF88","X",0,0,589000,4585000
"12903","NF98","C",NA,NA,591000,4585000
"12908","NF98","H",NA,NA,593000,4585000
"12913","NF98","M",0,0,595000,4585000
"12918","NF98","S",NA,NA,597000,4585000
"12923","NF98","X",0,0,599000,4585000
"21228","PF08","C",NA,NA,601000,4585000
"21233","PF08","H",NA,NA,603000,4585000
"21238","PF08","M",NA,NA,605000,4585000
"21243","PF08","S",NA,NA,607000,4585000
"21248","PF08","X",NA,NA,609000,4585000
"21478","PF18","C",NA,NA,611000,4585000
"21483","PF18","H",NA,NA,613000,4585000
"21488","PF18","M",NA,NA,615000,4585000
"21493","PF18","S",0,0,617000,4585000
"21498","PF18","X",NA,NA,619000,4585000
"21728","PF28","C",0,0,621000,4585000
"21733","PF28","H",NA,NA,623000,4585000
"21738","PF28","M",NA,NA,625000,4585000
"21743","PF28","S",0,0,627000,4585000
"21748","PF28","X",NA,NA,629000,4585000
"21978","PF38","C",0,1,631000,4585000
"21983","PF38","H",NA,NA,633000,4585000
"21988","PF38","M",NA,NA,635000,4585000
"21993","PF38","S",NA,NA,637000,4585000
"21998","PF38","X",NA,NA,639000,4585000
"22228","PF48","C",0,1,641000,4585000
"22233","PF48","H",NA,NA,643000,4585000
"22238","PF48","M",NA,NA,645000,4585000
"22243","PF48","S",0,0,647000,4585000
"22248","PF48","X",NA,NA,649000,4585000
"22478","PF58","C",NA,NA,651000,4585000
"22483","PF58","H",NA,NA,653000,4585000
"22488","PF58","M",NA,NA,655000,4585000
"22493","PF58","S",0,1,657000,4585000
"22498","PF58","X",NA,NA,659000,4585000
"22728","PF68","C",NA,NA,661000,4585000
"22733","PF68","H",0,0,663000,4585000
"22738","PF68","M",NA,NA,665000,4585000
"22743","PF68","S",NA,NA,667000,4585000
"22748","PF68","X",0,1,669000,4585000
"22978","PF78","C",NA,NA,671000,4585000
"22983","PF78","H",NA,NA,673000,4585000
"22988","PF78","M",NA,NA,675000,4585000
"22993","PF78","S",0,1,677000,4585000
"22998","PF78","X",NA,NA,679000,4585000
"23228","PF88","C",NA,NA,681000,4585000
"23233","PF88","H",0,1,683000,4585000
"23238","PF88","M",NA,NA,685000,4585000
"23243","PF88","S",NA,NA,687000,4585000
"23248","PF88","X",NA,NA,689000,4585000
"23353","PF98","C",0,1,691000,4585000
"23358","PF98","H",NA,NA,693000,4585000
"23363","PF98","M",0,1,695000,4585000
"23368","PF98","S",NA,NA,697000,4585000
"23373","PF98","X",NA,NA,699000,4585000
"24653","QF08","C",NA,NA,701000,4585000
"24658","QF08","H",NA,NA,703000,4585000
"24663","QF08","M",NA,NA,705000,4585000
"24668","QF08","S",NA,NA,707000,4585000
"24673","QF08","X",NA,NA,709000,4585000
"24728","QF18","C",NA,NA,711000,4585000
"24733","QF18","H",0,1,713000,4585000
"24738","QF18","M",0,1,715000,4585000
"24743","QF18","S",0,1,717000,4585000
"24748","QF18","X",NA,NA,719000,4585000
"24778","QF28","C",NA,NA,721000,4585000
"24783","QF28","H",NA,NA,723000,4585000
"24788","QF28","M",NA,NA,725000,4585000
"24793","QF28","S",NA,NA,727000,4585000
"24798","QF28","X",NA,NA,729000,4585000
"10902","NF18","B",NA,NA,511000,4583000
"10907","NF18","G",NA,NA,513000,4583000
"10912","NF18","L",NA,NA,515000,4583000
"10917","NF18","R",NA,NA,517000,4583000
"10922","NF18","W",NA,NA,519000,4583000
"11152","NF28","B",NA,NA,521000,4583000
"11157","NF28","G",NA,NA,523000,4583000
"11162","NF28","L",NA,NA,525000,4583000
"11167","NF28","R",NA,NA,527000,4583000
"11172","NF28","W",NA,NA,529000,4583000
"11402","NF38","B",0,0,531000,4583000
"11407","NF38","G",NA,NA,533000,4583000
"11412","NF38","L",NA,NA,535000,4583000
"11417","NF38","R",NA,NA,537000,4583000
"11422","NF38","W",NA,NA,539000,4583000
"11652","NF48","B",NA,NA,541000,4583000
"11657","NF48","G",NA,NA,543000,4583000
"11662","NF48","L",NA,NA,545000,4583000
"11667","NF48","R",0,0,547000,4583000
"11672","NF48","W",NA,NA,549000,4583000
"11902","NF58","B",NA,NA,551000,4583000
"11907","NF58","G",NA,NA,553000,4583000
"11912","NF58","L",NA,NA,555000,4583000
"11917","NF58","R",0,0,557000,4583000
"11922","NF58","W",NA,NA,559000,4583000
"12152","NF68","B",NA,NA,561000,4583000
"12157","NF68","G",NA,NA,563000,4583000
"12162","NF68","L",0,1,565000,4583000
"12167","NF68","R",NA,NA,567000,4583000
"12172","NF68","W",NA,NA,569000,4583000
"12402","NF78","B",NA,NA,571000,4583000
"12407","NF78","G",NA,NA,573000,4583000
"12412","NF78","L",NA,NA,575000,4583000
"12417","NF78","R",0,0,577000,4583000
"12422","NF78","W",NA,NA,579000,4583000
"12652","NF88","B",NA,NA,581000,4583000
"12657","NF88","G",NA,NA,583000,4583000
"12662","NF88","L",NA,NA,585000,4583000
"12667","NF88","R",0,0,587000,4583000
"12672","NF88","W",NA,NA,589000,4583000
"12902","NF98","B",NA,NA,591000,4583000
"12907","NF98","G",NA,NA,593000,4583000
"12912","NF98","L",NA,NA,595000,4583000
"12917","NF98","R",0,0,597000,4583000
"12922","NF98","W",NA,NA,599000,4583000
"21227","PF08","B",NA,NA,601000,4583000
"21232","PF08","G",NA,NA,603000,4583000
"21237","PF08","L",NA,NA,605000,4583000
"21242","PF08","R",NA,NA,607000,4583000
"21247","PF08","W",NA,NA,609000,4583000
"21477","PF18","B",NA,NA,611000,4583000
"21482","PF18","G",NA,NA,613000,4583000
"21487","PF18","L",NA,NA,615000,4583000
"21492","PF18","R",NA,NA,617000,4583000
"21497","PF18","W",NA,NA,619000,4583000
"21727","PF28","B",NA,NA,621000,4583000
"21732","PF28","G",0,1,623000,4583000
"21737","PF28","L",NA,NA,625000,4583000
"21742","PF28","R",NA,NA,627000,4583000
"21747","PF28","W",0,1,629000,4583000
"21977","PF38","B",NA,NA,631000,4583000
"21982","PF38","G",NA,NA,633000,4583000
"21987","PF38","L",NA,NA,635000,4583000
"21992","PF38","R",NA,NA,637000,4583000
"21997","PF38","W",0,0,639000,4583000
"22227","PF48","B",NA,NA,641000,4583000
"22232","PF48","G",NA,NA,643000,4583000
"22237","PF48","L",0,1,645000,4583000
"22242","PF48","R",NA,NA,647000,4583000
"22247","PF48","W",0,0,649000,4583000
"22477","PF58","B",NA,NA,651000,4583000
"22482","PF58","G",0,1,653000,4583000
"22487","PF58","L",NA,NA,655000,4583000
"22492","PF58","R",0,0,657000,4583000
"22497","PF58","W",0,1,659000,4583000
"22727","PF68","B",NA,NA,661000,4583000
"22732","PF68","G",NA,NA,663000,4583000
"22737","PF68","L",0,0,665000,4583000
"22742","PF68","R",NA,NA,667000,4583000
"22747","PF68","W",NA,NA,669000,4583000
"22977","PF78","B",0,1,671000,4583000
"22982","PF78","G",0,1,673000,4583000
"22987","PF78","L",NA,NA,675000,4583000
"22992","PF78","R",NA,NA,677000,4583000
"22997","PF78","W",NA,NA,679000,4583000
"23227","PF88","B",NA,NA,681000,4583000
"23232","PF88","G",NA,NA,683000,4583000
"23237","PF88","L",0,1,685000,4583000
"23242","PF88","R",NA,NA,687000,4583000
"23247","PF88","W",0,1,689000,4583000
"23352","PF98","B",NA,NA,691000,4583000
"23357","PF98","G",0,1,693000,4583000
"23362","PF98","L",NA,NA,695000,4583000
"23367","PF98","R",NA,NA,697000,4583000
"23372","PF98","W",0,1,699000,4583000
"24652","QF08","B",NA,NA,701000,4583000
"24657","QF08","G",0,0,703000,4583000
"24662","QF08","L",NA,NA,705000,4583000
"24667","QF08","R",0,1,707000,4583000
"24672","QF08","W",0,1,709000,4583000
"24727","QF18","B",0,1,711000,4583000
"24732","QF18","G",0,1,713000,4583000
"24737","QF18","L",0,1,715000,4583000
"24742","QF18","R",NA,NA,717000,4583000
"24747","QF18","W",NA,NA,719000,4583000
"24777","QF28","B",NA,NA,721000,4583000
"24782","QF28","G",NA,NA,723000,4583000
"24787","QF28","L",NA,NA,725000,4583000
"24792","QF28","R",NA,NA,727000,4583000
"24797","QF28","W",NA,NA,729000,4583000
"10901","NF18","A",NA,NA,511000,4581000
"10906","NF18","F",NA,NA,513000,4581000
"10911","NF18","K",NA,NA,515000,4581000
"10916","NF18","Q",NA,NA,517000,4581000
"10921","NF18","V",NA,NA,519000,4581000
"11151","NF28","A",NA,NA,521000,4581000
"11156","NF28","F",NA,NA,523000,4581000
"11161","NF28","K",NA,NA,525000,4581000
"11166","NF28","Q",NA,NA,527000,4581000
"11171","NF28","V",NA,NA,529000,4581000
"11401","NF38","A",NA,NA,531000,4581000
"11406","NF38","F",0,0,533000,4581000
"11411","NF38","K",NA,NA,535000,4581000
"11416","NF38","Q",0,0,537000,4581000
"11421","NF38","V",NA,NA,539000,4581000
"11651","NF48","A",0,0,541000,4581000
"11656","NF48","F",NA,NA,543000,4581000
"11661","NF48","K",0,0,545000,4581000
"11666","NF48","Q",NA,NA,547000,4581000
"11671","NF48","V",NA,NA,549000,4581000
"11901","NF58","A",NA,NA,551000,4581000
"11906","NF58","F",NA,NA,553000,4581000
"11911","NF58","K",NA,NA,555000,4581000
"11916","NF58","Q",NA,NA,557000,4581000
"11921","NF58","V",NA,NA,559000,4581000
"12151","NF68","A",0,0,561000,4581000
"12156","NF68","F",NA,NA,563000,4581000
"12161","NF68","K",NA,NA,565000,4581000
"12166","NF68","Q",NA,NA,567000,4581000
"12171","NF68","V",NA,NA,569000,4581000
"12401","NF78","A",NA,NA,571000,4581000
"12406","NF78","F",NA,NA,573000,4581000
"12411","NF78","K",0,0,575000,4581000
"12416","NF78","Q",NA,NA,577000,4581000
"12421","NF78","V",0,1,579000,4581000
"12651","NF88","A",0,1,581000,4581000
"12656","NF88","F",NA,NA,583000,4581000
"12661","NF88","K",NA,NA,585000,4581000
"12666","NF88","Q",NA,NA,587000,4581000
"12671","NF88","V",0,0,589000,4581000
"12901","NF98","A",NA,NA,591000,4581000
"12906","NF98","F",NA,NA,593000,4581000
"12911","NF98","K",0,0,595000,4581000
"12916","NF98","Q",NA,NA,597000,4581000
"12921","NF98","V",NA,NA,599000,4581000
"21226","PF08","A",NA,NA,601000,4581000
"21231","PF08","F",NA,NA,603000,4581000
"21236","PF08","K",NA,NA,605000,4581000
"21241","PF08","Q",NA,NA,607000,4581000
"21246","PF08","V",NA,NA,609000,4581000
"21476","PF18","A",NA,NA,611000,4581000
"21481","PF18","F",0,0,613000,4581000
"21486","PF18","K",NA,NA,615000,4581000
"21491","PF18","Q",0,0,617000,4581000
"21496","PF18","V",NA,NA,619000,4581000
"21726","PF28","A",0,1,621000,4581000
"21731","PF28","F",NA,NA,623000,4581000
"21736","PF28","K",NA,NA,625000,4581000
"21741","PF28","Q",0,1,627000,4581000
"21746","PF28","V",NA,NA,629000,4581000
"21976","PF38","A",NA,NA,631000,4581000
"21981","PF38","F",0,0,633000,4581000
"21986","PF38","K",NA,NA,635000,4581000
"21991","PF38","Q",NA,NA,637000,4581000
"21996","PF38","V",NA,NA,639000,4581000
"22226","PF48","A",NA,NA,641000,4581000
"22231","PF48","F",NA,NA,643000,4581000
"22236","PF48","K",NA,NA,645000,4581000
"22241","PF48","Q",0,0,647000,4581000
"22246","PF48","V",NA,NA,649000,4581000
"22476","PF58","A",0,1,651000,4581000
"22481","PF58","F",NA,NA,653000,4581000
"22486","PF58","K",NA,NA,655000,4581000
"22491","PF58","Q",NA,NA,657000,4581000
"22496","PF58","V",0,1,659000,4581000
"22726","PF68","A",NA,NA,661000,4581000
"22731","PF68","F",0,1,663000,4581000
"22736","PF68","K",NA,NA,665000,4581000
"22741","PF68","Q",0,0,667000,4581000
"22746","PF68","V",NA,NA,669000,4581000
"22976","PF78","A",NA,NA,671000,4581000
"22981","PF78","F",NA,NA,673000,4581000
"22986","PF78","K",1,1,675000,4581000
"22991","PF78","Q",NA,NA,677000,4581000
"22996","PF78","V",0,1,679000,4581000
"23226","PF88","A",0,0,681000,4581000
"23231","PF88","F",NA,NA,683000,4581000
"23236","PF88","K",NA,NA,685000,4581000
"23241","PF88","Q",NA,NA,687000,4581000
"23246","PF88","V",0,1,689000,4581000
"23351","PF98","A",0,0,691000,4581000
"23356","PF98","F",NA,NA,693000,4581000
"23361","PF98","K",0,0,695000,4581000
"23366","PF98","Q",NA,NA,697000,4581000
"23371","PF98","V",NA,NA,699000,4581000
"24651","QF08","A",NA,NA,701000,4581000
"24656","QF08","F",NA,NA,703000,4581000
"24661","QF08","K",0,0,705000,4581000
"24666","QF08","Q",0,1,707000,4581000
"24671","QF08","V",0,0,709000,4581000
"24726","QF18","A",0,0,711000,4581000
"24731","QF18","F",1,1,713000,4581000
"24736","QF18","K",0,1,715000,4581000
"24741","QF18","Q",NA,NA,717000,4581000
"24746","QF18","V",NA,NA,719000,4581000
"24776","QF28","A",NA,NA,721000,4581000
"24781","QF28","F",NA,NA,723000,4581000
"24786","QF28","K",NA,NA,725000,4581000
"24791","QF28","Q",NA,NA,727000,4581000
"24796","QF28","V",NA,NA,729000,4581000
"10880","NF17","E",NA,NA,511000,4579000
"10885","NF17","J",NA,NA,513000,4579000
"10890","NF17","P",NA,NA,515000,4579000
"10895","NF17","U",NA,NA,517000,4579000
"10900","NF17","Z",NA,NA,519000,4579000
"11130","NF27","E",NA,NA,521000,4579000
"11135","NF27","J",NA,NA,523000,4579000
"11140","NF27","P",NA,NA,525000,4579000
"11145","NF27","U",NA,NA,527000,4579000
"11150","NF27","Z",NA,NA,529000,4579000
"11380","NF37","E",NA,NA,531000,4579000
"11385","NF37","J",NA,NA,533000,4579000
"11390","NF37","P",NA,NA,535000,4579000
"11395","NF37","U",NA,NA,537000,4579000
"11400","NF37","Z",0,0,539000,4579000
"11630","NF47","E",NA,NA,541000,4579000
"11635","NF47","J",NA,NA,543000,4579000
"11640","NF47","P",0,0,545000,4579000
"11645","NF47","U",NA,NA,547000,4579000
"11650","NF47","Z",NA,NA,549000,4579000
"11880","NF57","E",NA,NA,551000,4579000
"11885","NF57","J",NA,NA,553000,4579000
"11890","NF57","P",0,1,555000,4579000
