"","year","exra","nao","location","code","elevation","climate.region","N","E"
"326",2012,47.8,-0.25,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"335",2013,63.1,0.9,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"345",2014,47.7,2.97,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"355",2015,54.6,4.09,"Nyon.Changins","CGI",455,"Western plateau",46.4,6.23
"130",1981,46.7,-0.55,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"230",1982,34.9,2.63,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"327",1983,45.5,0.38,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"49",1984,35.7,2.17,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"59",1985,36.1,-3.09,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"69",1986,35.5,3.14,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"79",1987,69.4,-3.01,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"89",1988,43.2,-0.13,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"99",1989,31,2.38,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"109",1990,38.9,3.88,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"1113",1991,42.7,1.14,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"1211",1992,49.6,2.54,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"139",1993,48.9,1.71,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"149",1994,40.9,2.86,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"159",1995,42.7,-1.11,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"169",1996,57.3,-1.98,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"179",1997,34.5,-0.93,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"189",1998,44.8,1.03,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"199",1999,64.7,2.25,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"209",2000,61.1,1.18,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"2113",2001,69.2,-1.91,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"2211",2002,41.8,1,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"239",2003,43,-0.09,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"249",2004,37.3,0.7,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"259",2005,55.2,-1.35,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"269",2006,55.8,-0.2,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"279",2007,83.8,1.35,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"289",2008,55,1.72,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"299",2009,42.7,0.72,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"309",2010,74,-5.96,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"3111",2011,31.3,2.95,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"328",2012,46.9,-0.25,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"336",2013,76.9,0.9,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"346",2014,41.8,2.97,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"356",2015,50.2,4.09,"Chasseral","CHA",1599,"Western Jura",47.13,7.05
"140",1981,43.3,-0.55,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"240",1982,38.1,2.63,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"329",1983,49.2,0.38,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"410",1984,56,2.17,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"510",1985,62.8,-3.09,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"610",1986,49.3,3.14,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"710",1987,60.7,-3.01,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"810",1988,60.2,-0.13,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"910",1989,30.8,2.38,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"1010",1990,44.3,3.88,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"1114",1991,73.3,1.14,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"1212",1992,41.9,2.54,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"1310",1993,43.6,1.71,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"1410",1994,32.2,2.86,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"1510",1995,44.2,-1.11,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"1610",1996,33.2,-1.98,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"1710",1997,39.4,-0.93,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"1810",1998,53.9,1.03,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"1910",1999,50.1,2.25,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"2010",2000,54.5,1.18,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"2114",2001,42.2,-1.91,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"2212",2002,58.8,1,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"2310",2003,46.2,-0.09,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"2410",2004,39.4,0.7,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"2510",2005,33.1,-1.35,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"2610",2006,49.1,-0.2,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"2710",2007,34.6,1.35,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"2810",2008,41.4,1.72,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"2910",2009,44,0.72,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"3010",2010,39.1,-5.96,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"3112",2011,31.4,2.95,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"3210",2012,47.7,-0.25,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"337",2013,41.2,0.9,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"347",2014,43.3,2.97,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"357",2015,29.9,4.09,"Chur","CHU",556,"Northern and central Grisons",46.87,9.53
"150",1982,127.5,2.63,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"250",1983,164.3,0.38,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"330",1984,124.7,2.17,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"411",1985,91.8,-3.09,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"511",1986,84.1,3.14,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"611",1987,139.4,-3.01,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"711",1988,154.7,-0.13,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"811",1989,65.9,2.38,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"911",1990,94.1,3.88,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"1011",1991,173.1,1.14,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"1115",1992,76.9,2.54,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"1213",1993,122.4,1.71,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"1311",1994,102.7,2.86,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"1411",1995,68.2,-1.11,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"1511",1996,89.2,-1.98,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"1611",1997,115.1,-0.93,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"1711",1998,118.8,1.03,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"1811",1999,100,2.25,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"1911",2000,60.4,1.18,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"2011",2001,61.4,-1.91,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"2115",2002,118,1,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"2213",2003,88.4,-0.09,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"2311",2004,112.4,0.7,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"2411",2005,83.5,-1.35,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"2511",2006,121.4,-0.2,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"2611",2007,60.8,1.35,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"2711",2008,75.1,1.72,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"2811",2009,112.4,0.72,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"2911",2010,71.8,-5.96,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"3011",2011,101.2,2.95,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"3113",2012,58.4,-0.25,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"3211",2013,130.2,0.9,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"338",2014,119.8,2.97,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"348",2015,98,4.09,"Cimetta","CIM",1661,"Alpine south side",46.2,8.79
"160",1988,81,-0.13,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"260",1989,56.7,2.38,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"339",1990,65.1,3.88,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"412",1991,72.8,1.14,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"512",1992,72.2,2.54,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"612",1993,99,1.71,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"712",1994,93.4,2.86,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"812",1995,48.1,-1.11,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"912",1996,59.7,-1.98,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"1012",1997,60.3,-0.93,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"1116",1998,70,1.03,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"1214",1999,66.3,2.25,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"1312",2000,51.9,1.18,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"1412",2001,89.7,-1.91,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"1512",2002,87.1,1,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"1612",2003,166.9,-0.09,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"1712",2004,82.4,0.7,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"1812",2005,43.5,-1.35,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"1912",2006,56.8,-0.2,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"2012",2007,46.1,1.35,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"2116",2008,78.5,1.72,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"2214",2009,95.6,0.72,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"2312",2010,54.6,-5.96,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"2412",2011,101.8,2.95,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"2512",2012,82.1,-0.25,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"2612",2013,67.9,0.9,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"2712",2014,89.6,2.97,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"2812",2015,88.3,4.09,"Acquarossa.Comprovasco","COM",575,"Alpine south side",46.46,8.94
"170",1981,34,-0.55,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"270",1982,33.4,2.63,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"340",1983,30.2,0.38,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"413",1984,35.2,2.17,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"513",1985,53.6,-3.09,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"613",1986,33.8,3.14,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"713",1987,30.1,-3.01,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"813",1988,61.4,-0.13,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"913",1989,36.1,2.38,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"1013",1990,25.2,3.88,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"1117",1991,65,1.14,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"1215",1992,42.9,2.54,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"1313",1993,54,1.71,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"1413",1994,28.4,2.86,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"1513",1995,31.5,-1.11,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"1613",1996,50.9,-1.98,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"1713",1997,30.7,-0.93,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"1813",1998,44,1.03,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"1913",1999,31.5,2.25,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"2013",2000,34.9,1.18,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"2117",2001,39.7,-1.91,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"2215",2002,45.9,1,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"2313",2003,27.8,-0.09,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"2413",2004,26.8,0.7,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"2513",2005,39.9,-1.35,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"2613",2006,31.2,-0.2,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"2713",2007,26.8,1.35,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"2813",2008,40.7,1.72,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"2912",2009,41,0.72,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"3012",2010,41.7,-5.96,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"3114",2011,79.8,2.95,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"3212",2012,51.8,-0.25,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"3310",2013,59.5,0.9,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"349",2014,81.3,2.97,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"358",2015,47.5,4.09,"Piz Corvatsch","COV",3302,"Engadine",46.42,9.82
"180",1981,37.6,-0.55,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"280",1982,45.1,2.63,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"350",1983,40.9,0.38,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"414",1984,40.4,2.17,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"514",1985,69.8,-3.09,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"614",1986,44.5,3.14,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"714",1987,38.6,-3.01,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"814",1988,55.4,-0.13,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"914",1989,27.4,2.38,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"1014",1990,44.8,3.88,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"1118",1991,57.6,1.14,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"1216",1992,38.1,2.54,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"1314",1993,50.2,1.71,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"1414",1994,49.6,2.86,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"1514",1995,46.7,-1.11,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"1614",1996,48.4,-1.98,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"1714",1997,35,-0.93,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"1814",1998,33.7,1.03,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"1914",1999,49.4,2.25,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"2014",2000,53.5,1.18,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"2118",2001,61.7,-1.91,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"2216",2002,47.1,1,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"2314",2003,56.4,-0.09,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"2414",2004,56.3,0.7,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"2514",2005,55.4,-1.35,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"2614",2006,34.2,-0.2,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"2714",2007,40,1.35,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"2814",2008,41.7,1.72,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"2913",2009,37.3,0.72,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"3013",2010,33.1,-5.96,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"3115",2011,58.4,2.95,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"3213",2012,39.4,-0.25,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"3311",2013,31.3,0.9,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"3410",2014,50.4,2.97,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"359",2015,31,4.09,"Davos","DAV",1594,"Northern and central Grisons",46.81,9.84
"190",1981,48.1,-0.55,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"290",1982,55,2.63,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"360",1983,66,0.38,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"415",1984,66.8,2.17,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"515",1985,70.9,-3.09,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"615",1986,41.3,3.14,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"715",1987,71.6,-3.01,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"815",1988,48.7,-0.13,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"915",1989,58.2,2.38,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"1015",1990,40.6,3.88,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"1119",1991,71.5,1.14,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"1217",1992,50.2,2.54,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"1315",1993,55.5,1.71,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"1415",1994,45.8,2.86,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"1515",1995,64.8,-1.11,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"1615",1996,74.8,-1.98,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"1715",1997,44.1,-0.93,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"1815",1998,72.9,1.03,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"1915",1999,42.2,2.25,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"2015",2000,58.9,1.18,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"2119",2001,59.5,-1.91,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"2217",2002,91.2,1,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"2315",2003,70,-0.09,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"2415",2004,45,0.7,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"2515",2005,48.2,-1.35,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"2615",2006,36.1,-0.2,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"2715",2007,55.5,1.35,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"2815",2008,68.8,1.72,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"2914",2009,74.2,0.72,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"3014",2010,46.1,-5.96,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"3116",2011,59.3,2.95,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"3214",2012,64.8,-0.25,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"3312",2013,69.8,0.9,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"3411",2014,84.1,2.97,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"3510",2015,42.5,4.09,"Disentis.Sedrun","DIS",1197,"Northern and central Grisons",46.71,8.85
"1100",1981,75.2,-0.55,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"2100",1982,52.3,2.63,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"361",1983,73.3,0.38,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"416",1984,42.7,2.17,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"516",1985,37.9,-3.09,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"616",1986,41.3,3.14,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"716",1987,44.6,-3.01,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"816",1988,69.6,-0.13,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"916",1989,33.2,2.38,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"1016",1990,65.8,3.88,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"1120",1991,57.9,1.14,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"1218",1992,52.3,2.54,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"1316",1993,67.2,1.71,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"1416",1994,54.9,2.86,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"1516",1995,59.2,-1.11,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"1616",1996,58.4,-1.98,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"1716",1997,63.3,-0.93,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"1816",1998,67.9,1.03,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"1916",1999,46.2,2.25,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"2016",2000,49,1.18,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"2120",2001,51.7,-1.91,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"2218",2002,61.5,1,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"2316",2003,51.1,-0.09,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"2416",2004,74.7,0.7,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"2516",2005,28.7,-1.35,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"2616",2006,45.6,-0.2,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"2716",2007,67.4,1.35,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"2816",2008,67.8,1.72,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"2915",2009,41.2,0.72,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"3015",2010,53.8,-5.96,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"3117",2011,43.5,2.95,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"3215",2012,47.5,-0.25,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"3313",2013,48.5,0.9,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"3412",2014,50,2.97,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"3511",2015,85.8,4.09,"La Dole","DOL",1670,"Western Jura",46.42,6.1
"1101",1983,50.7,0.38,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"2101",1984,58,2.17,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"362",1985,35.6,-3.09,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"417",1986,43.6,3.14,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"517",1987,52.5,-3.01,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"617",1988,41.5,-0.13,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"717",1989,55.3,2.38,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"817",1990,47.8,3.88,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"917",1991,81.6,1.14,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"1017",1992,34.6,2.54,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"1121",1993,49.9,1.71,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"1219",1994,37,2.86,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"1317",1995,44.3,-1.11,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"1417",1996,56.5,-1.98,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"1517",1997,48.4,-0.93,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"1617",1998,37.8,1.03,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"1717",1999,49.1,2.25,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"1817",2000,63.9,1.18,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"1917",2001,39.6,-1.91,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"2017",2002,79.8,1,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"2121",2003,49.5,-0.09,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"2219",2004,40.8,0.7,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"2317",2005,88.1,-1.35,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"2417",2006,49.1,-0.2,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
"2517",2007,45.7,1.35,"Engelberg","ENG",1036,"Central Alpine north slope",46.82,8.41
