"","id.num","order","days","log.size","ozone"
"932",72,9,579,6.45,0
"933",72,10,613,6.59,0
"934",72,11,639,6.7,0
"935",72,12,674,6.63,0
"936",72,13,674,6.66,0
"937",73,1,152,5.46,0
"938",73,2,174,5.79,0
"939",73,3,201,6.12,0
"940",73,4,227,6.41,0
"941",73,5,258,6.63,0
"942",73,6,469,6.73,0
"943",73,7,528,6.73,0
"944",73,8,556,6.77,0
"945",73,9,579,6.68,0
"946",73,10,613,6.75,0
"947",73,11,639,6.75,0
"948",73,12,674,6.62,0
"949",73,13,674,6.6,0
"950",74,1,152,4.17,0
"951",74,2,174,4.67,0
"952",74,3,201,5.16,0
"953",74,4,227,5.56,0
"954",74,5,258,5.75,0
"955",74,6,469,6,0
"956",74,7,528,6.02,0
"957",74,8,556,6.14,0
"958",74,9,579,6.28,0
"959",74,10,613,6.55,0
"960",74,11,639,6.66,0
"961",74,12,674,6.63,0
"962",74,13,674,6.63,0
"963",75,1,152,3.35,0
"964",75,2,174,4.05,0
"965",75,3,201,4.51,0
"966",75,4,227,5.22,0
"967",75,5,258,5.44,0
"968",75,6,469,5.79,0
"969",75,7,528,5.82,0
"970",75,8,556,6.05,0
"971",75,9,579,6.29,0
"972",75,10,613,6.22,0
"973",75,11,639,6.39,0
"974",75,12,674,6.47,0
"975",75,13,674,6.42,0
"976",76,1,152,3.33,0
"977",76,2,174,3.82,0
"978",76,3,201,4.38,0
"979",76,4,227,4.99,0
"980",76,5,258,5.17,0
"981",76,6,469,5.4,0
"982",76,7,528,5.4,0
"983",76,8,556,5.73,0
"984",76,9,579,5.85,0
"985",76,10,613,5.75,0
"986",76,11,639,5.99,0
"987",76,12,674,6.1,0
"988",76,13,674,6.15,0
"989",77,1,152,3.41,0
"990",77,2,174,3.68,0
"991",77,3,201,4.03,0
"992",77,4,227,4.28,0
"993",77,5,258,4.54,0
"994",77,6,469,4.52,0
"995",77,7,528,4.57,0
"996",77,8,556,5.01,0
"997",77,9,579,5.13,0
"998",77,10,613,5.11,0
"999",77,11,639,5.3,0
"1000",77,12,674,5.46,0
"1001",77,13,674,5.35,0
"1002",78,1,152,4.5,0
"1003",78,2,174,4.8,0
"1004",78,3,201,5.28,0
"1005",78,4,227,5.83,0
"1006",78,5,258,6.16,0
"1007",78,6,469,6.33,0
"1008",78,7,528,6.34,0
"1009",78,8,556,6.56,0
"1010",78,9,579,6.63,0
"1011",78,10,613,6.75,0
"1012",78,11,639,6.89,0
"1013",78,12,674,6.96,0
"1014",78,13,674,6.94,0
"1015",79,1,152,2.99,0
"1016",79,2,174,3.61,0
"1017",79,3,201,4.48,0
"1018",79,4,227,4.91,0
"1019",79,5,258,5.06,0
"1020",79,6,469,5.23,0
"1021",79,7,528,5.25,0
"1022",79,8,556,5.56,0
"1023",79,9,579,5.95,0
"1024",79,10,613,5.98,0
"1025",79,11,639,6.21,0
"1026",79,12,674,6.28,0
"1027",79,13,674,6.34,0
